"datum","spotrebni","dph","ropa","marze"
2009-01-12,11.84,15.4531932773109,20.8592436773109,22.63
2009-01-19,11.84,15.4100840336134,NA,NA
2009-01-26,11.84,15.6623529411765,22.4841129411765,23.94
2009-02-02,11.84,15.64,21.9568384,23.8
2009-02-09,11.84,15.7006722689076,22.4199269355742,24.18
2009-02-16,11.84,15.702268907563,NA,NA
2009-02-23,11.84,15.8156302521008,21.9321193854342,24.9
2009-03-02,11.84,15.9545378151261,22.336017815126,25.77
2009-03-09,11.84,15.9257983193277,22.4580163193277,25.59
2009-03-16,11.84,15.9082352941176,21.8900248941176,25.48
2009-03-23,11.84,15.9321848739496,22.7671160739496,25.63
2009-03-30,11.84,15.8970588235294,22.7045448235294,25.41
2009-04-06,11.84,15.8890756302521,22.5681282302521,25.36
2009-04-13,11.84,16.0104201680672,NA,NA
2009-04-27,11.84,15.9944537815126,22.5791803148459,26.02
2009-05-04,11.84,16.0583193277311,23.2111373277311,26.42
2009-05-11,11.84,16.0535294117647,23.4117352117647,26.39
2009-05-18,11.84,16.0423529411765,23.5510250078431,26.32
2009-05-25,11.84,16.1940336134454,NA,NA
2009-06-01,11.84,16.2323529411765,24.5933169411765,27.51
2009-06-08,11.84,16.2978151260504,25.0744945927171,27.92
2009-06-15,11.84,16.2898319327731,25.1369135327731,27.87
2009-06-22,11.84,16.4303361344538,24.7067260677871,28.75
2009-06-29,11.84,16.4846218487395,25.0899118487395,29.09
2009-07-06,11.84,16.5373109243697,NA,NA
2009-07-13,11.84,16.5021848739496,23.7337282072829,29.2
2009-07-20,11.84,16.4463025210084,24.2772230543417,28.85
2009-07-27,11.84,16.3984033613445,24.7143185613445,28.55
2009-08-03,11.84,16.3521008403361,25.0796888403361,28.26
2009-08-10,11.84,16.3984033613445,25.2969854280112,28.55
2009-08-17,11.84,16.4031932773109,24.7894772773109,28.58
2009-08-24,11.84,16.5229411764706,25.3262839764706,29.33
2009-08-31,11.84,16.4894117647059,24.6715026980392,29.12
2009-09-07,11.84,16.4638655462185,NA,NA
2009-09-14,11.84,16.4399159663866,24.2384994997199,28.81
2009-09-21,11.84,16.4047899159664,24.2002064492997,28.59
2009-09-28,11.84,16.3521008403361,NA,NA
2009-10-05,11.84,16.2994117647059,23.8765328313726,27.93
2009-10-12,11.84,16.2578991596639,24.5059341596639,27.67
2009-10-19,11.84,16.2243697478992,24.9644532145658,27.46
