"NUTS4","prumer","count","min","max"
"CZ0316",34.317,12,32.9,34.9
"CZ0811",34.474,19,33.4,35.4
"CZ0423",34.51,28,32.8,36.6
"CZ0531",34.563,19,32.8,36.9
"CZ0218",34.573,26,32.9,38.9
"CZ0313",34.596,26,32.9,35.9
"CZ0427",34.6,34,30.9,36.5
"CZ0411",34.607,29,32.9,36.5
"CZ0525",34.616,25,32.9,35.5
"CZ0524",34.671,21,32.9,35.9
"CZ021C",34.68,10,32.9,36
"CZ0314",34.708,25,32.9,36.7
"CZ0614",34.714,22,33.4,35.9
"CZ0321",34.826,23,32.9,35.9
"CZ0322",34.84,30,33.7,35.9
"CZ0315",34.868,19,33.2,36.2
"CZ0325",34.869,16,32.9,36.2
"CZ0511",34.87,23,32.9,35.9
"CZ0533",34.932,22,32.9,35.9
"CZ0324",34.936,11,34.2,36.2
"CZ0522",34.937,19,32.9,36.2
"CZ0521",34.951,39,33.5,36.5
"CZ0213",34.996,28,32.9,36.9
"CZ0317",34.997,29,32.9,36.4
"CZ0215",35.015,20,32.9,35.9
"CZ0421",35.028,39,32.9,37.7
"CZ0422",35.028,25,32.9,36.9
"CZ0612",35.039,23,32.9,39.9
"CZ0534",35.042,26,32.9,36.5
"CZ0625",35.061,31,32.9,36.5
"CZ0532",35.087,24,32.9,35.9
"CZ0323",35.103,30,32.9,36.8
"CZ0425",35.124,21,32.9,36.5
"CZ0715",35.188,24,32.9,36.9
"CZ0426",35.19,21,32.9,36.7
"CZ0413",35.247,19,32.9,36.9
"CZ0621",35.256,18,32.9,36.2
"CZ0514",35.325,16,34.9,36.2
"CZ0523",35.325,12,34.7,37.5
"CZ0513",35.333,33,33.4,37.2
"CZ0816",35.339,46,32.9,38.9
"CZ0813",35.355,31,32.9,36.7
"CZ0219",35.368,38,32.3,38.9
"CZ0216",35.369,26,32.9,39.9
"CZ0714",35.418,17,32.9,36.9
"CZ0812",35.432,38,32.9,36.9
"CZ0424",35.458,19,34.4,36.3
"CZ0412",35.468,28,34.2,36.7
"CZ0815",35.496,23,34.5,38.9
"CZ0217",35.531,32,33.5,37.2
"CZ0712",35.545,47,33.3,38.9
"CZ0713",35.565,20,33.5,38.9
"CZ0311",35.569,29,34,37.7
"CZ0312",35.576,25,32.9,37.6
"CZ0724",35.585,40,32.9,37.3
"CZ0512",35.6,17,34.1,36.9
"CZ0613",35.65,18,33.9,39.9
"CZ0615",35.693,27,33.9,39.9
"CZ0721",35.705,19,34.9,36.8
"CZ0623",35.707,41,33.7,39.9
"CZ0814",35.726,27,32.9,38.9
"CZ0722",35.737,24,34.2,36.8
"CZ0711",35.75,4,34.9,36.5
"CZ021B",35.766,27,34.9,36.8
"CZ0723",35.803,30,32.9,37.5
"CZ0326",35.817,12,33.7,39.9
"CZ0627",35.846,35,33.9,37.4
"CZ0214",35.888,26,34.2,37.6
"CZ0624",35.956,41,32.8,39.9
"CZ0611",36.141,22,34.9,39.9
"CZ0212",36.173,19,33.1,39.7
"CZ021A",36.287,31,34.9,37.9
"CZ0626",36.333,18,33.9,38.9
"CZ0327",36.367,24,33.1,39.9
"CZ0110",36.556,171,32.9,38.9
"CZ0211",36.704,26,32.9,39.9
"CZ0622",36.974,53,33.5,39.9
