Datum,Kurz
29.05.2009,"19,026"
01.06.2009,"18,831"
02.06.2009,"18,840"
03.06.2009,"18,879"
04.06.2009,"19,108"
05.06.2009,"19,056"
08.06.2009,"19,472"
09.06.2009,"19,183"
10.06.2009,"18,958"
11.06.2009,"19,145"
12.06.2009,"19,024"
15.06.2009,"19,376"
16.06.2009,"19,275"
17.06.2009,"19,283"
18.06.2009,"19,131"
19.06.2009,"18,923"
22.06.2009,"18,773"
23.06.2009,"18,755"
24.06.2009,"18,653"
25.06.2009,"18,707"
26.06.2009,"18,442"
29.06.2009,"18,506"
30.06.2009,"18,318"
01.07.2009,"18,295"
02.07.2009,"18,346"
03.07.2009,"18,450"
07.07.2009,"18,459"
08.07.2009,"18,730"
09.07.2009,"18,539"
10.07.2009,"18,716"
13.07.2009,"18,622"
14.07.2009,"18,583"
15.07.2009,"18,375"
16.07.2009,"18,300"
17.07.2009,"18,407"
20.07.2009,"18,172"
21.07.2009,"18,151"
22.07.2009,"18,193"
23.07.2009,"18,008"
24.07.2009,"17,904"
27.07.2009,"17,876"
28.07.2009,"17,919"
29.07.2009,"18,106"
30.07.2009,"18,203"
31.07.2009,"18,084"
03.08.2009,"17,958"
04.08.2009,"17,981"
05.08.2009,"18,005"
06.08.2009,"18,054"
07.08.2009,"18,044"
10.08.2009,"18,089"
11.08.2009,"18,197"
12.08.2009,"18,185"
13.08.2009,"18,006"
14.08.2009,"18,003"
17.08.2009,"18,324"
18.08.2009,"18,123"
19.08.2009,"18,215"
20.08.2009,"17,963"
21.08.2009,"17,782"
24.08.2009,"17,763"
25.08.2009,"17,698"
26.08.2009,"17,801"
27.08.2009,"17,804"
28.08.2009,"17,698"
31.08.2009,"17,782"
01.09.2009,"17,864"
02.09.2009,"18,058"
03.09.2009,"17,867"
04.09.2009,"17,911"
07.09.2009,"17,785"
08.09.2009,"17,597"
09.09.2009,"17,576"
10.09.2009,"17,529"
11.09.2009,"17,465"
14.09.2009,"17,483"
15.09.2009,"17,334"
16.09.2009,"17,204"
17.09.2009,"17,052"
18.09.2009,"17,057"
21.09.2009,"17,168"
22.09.2009,"17,016"
23.09.2009,"17,073"
24.09.2009,"17,028"
25.09.2009,"17,164"
29.09.2009,"17,308"
30.09.2009,"17,178"
01.10.2009,"17,473"
02.10.2009,"17,506"
05.10.2009,"17,416"
06.10.2009,"17,348"
07.10.2009,"17,483"
08.10.2009,"17,451"
09.10.2009,"17,530"
12.10.2009,"17,487"
13.10.2009,"17,443"
14.10.2009,"17,384"
15.10.2009,"17,407"
16.10.2009,"17,330"
19.10.2009,"17,282"
20.10.2009,"17,175"
21.10.2009,"17,339"
22.10.2009,"17,279"
23.10.2009,"17,241"
26.10.2009,"17,244"
27.10.2009,"17,532"
29.10.2009,"17,908"
30.10.2009,"17,883"
02.11.2009,"17,912"
03.11.2009,"17,938"
04.11.2009,"17,673"
05.11.2009,"17,403"
06.11.2009,"17,277"
09.11.2009,"17,070"
10.11.2009,"17,054"
11.11.2009,"16,886"
12.11.2009,"17,093"
13.11.2009,"17,169"
16.11.2009,"17,037"
18.11.2009,"17,010"
19.11.2009,"17,217"
20.11.2009,"17,475"
23.11.2009,"17,262"
24.11.2009,"17,294"
25.11.2009,"17,215"
26.11.2009,"17,374"
27.11.2009,"17,554"
30.11.2009,"17,390"
01.12.2009,"17,219"
02.12.2009,"17,218"
03.12.2009,"17,077"
04.12.2009,"17,144"
07.12.2009,"17,386"
08.12.2009,"17,427"
09.12.2009,"17,435"
10.12.2009,"17,464"
11.12.2009,"17,436"
14.12.2009,"17,575"
15.12.2009,"17,951"
16.12.2009,"18,093"
17.12.2009,"18,215"
18.12.2009,"18,338"
21.12.2009,"18,345"
22.12.2009,"18,392"
23.12.2009,"18,489"
28.12.2009,"18,344"
29.12.2009,"18,295"
30.12.2009,"18,411"
31.12.2009,"18,368"
04.01.2010,"18,275"
05.01.2010,"18,164"
06.01.2010,"18,352"
07.01.2010,"18,436"
08.01.2010,"18,436"
11.01.2010,"18,034"
12.01.2010,"18,131"
13.01.2010,"17,965"
14.01.2010,"17,978"
15.01.2010,"18,041"
18.01.2010,"18,016"
19.01.2010,"18,141"
20.01.2010,"18,316"
21.01.2010,"18,472"
22.01.2010,"18,525"
25.01.2010,"18,377"
26.01.2010,"18,531"
27.01.2010,"18,555"
28.01.2010,"18,739"
29.01.2010,"18,782"
01.02.2010,"18,734"
02.02.2010,"18,654"
03.02.2010,"18,613"
04.02.2010,"18,862"
05.02.2010,"19,121"
08.02.2010,"19,130"
09.02.2010,"18,964"
10.02.2010,"18,988"
11.02.2010,"18,959"
12.02.2010,"19,167"
15.02.2010,"19,106"
16.02.2010,"19,065"
17.02.2010,"18,890"
18.02.2010,"18,953"
19.02.2010,"19,051"
22.02.2010,"18,899"
23.02.2010,"19,000"
24.02.2010,"19,099"
25.02.2010,"19,232"
26.02.2010,"19,131"
01.03.2010,"19,168"
02.03.2010,"19,017"
03.03.2010,"18,881"
04.03.2010,"18,889"
05.03.2010,"18,975"
08.03.2010,"18,715"
09.03.2010,"18,935"
10.03.2010,"18,824"
11.03.2010,"18,710"
12.03.2010,"18,535"
15.03.2010,"18,595"
16.03.2010,"18,581"
17.03.2010,"18,463"
18.03.2010,"18,504"
19.03.2010,"18,715"
22.03.2010,"18,899"
23.03.2010,"18,827"
24.03.2010,"19,020"
25.03.2010,"18,988"
26.03.2010,"19,038"
29.03.2010,"18,890"
30.03.2010,"18,869"
31.03.2010,"18,868"
01.04.2010,"18,843"
02.04.2010,"18,708"
06.04.2010,"18,881"
07.04.2010,"18,920"
08.04.2010,"18,944"
09.04.2010,"18,846"
12.04.2010,"18,512"
13.04.2010,"18,522"
14.04.2010,"18,392"
15.04.2010,"18,518"
16.04.2010,"18,604"
19.04.2010,"18,811"
20.04.2010,"18,765"
21.04.2010,"18,905"
22.04.2010,"19,013"
23.04.2010,"19,079"
26.04.2010,"19,087"
27.04.2010,"19,195"
28.04.2010,"19,306"
29.04.2010,"19,274"
30.04.2010,"19,208"
03.05.2010,"19,299"
04.05.2010,"19,640"
05.05.2010,"20,019"
06.05.2010,"20,443"
07.05.2010,"20,374"
10.05.2010,"19,743"
11.05.2010,"20,151"
12.05.2010,"20,012"
13.05.2010,"20,199"
14.05.2010,"20,382"
17.05.2010,"20,706"
18.05.2010,"20,492"
19.05.2010,"20,973"
20.05.2010,"21,014"
21.05.2010,"20,735"
24.05.2010,"20,753"
25.05.2010,"20,985"
26.05.2010,"20,762"
27.05.2010,"20,918"
28.05.2010,"20,818"
31.05.2010,"20,726"
01.06.2010,"21,084"
02.06.2010,"21,111"
03.06.2010,"21,000"
04.06.2010,"21,592"
07.06.2010,"21,645"
08.06.2010,"21,702"
09.06.2010,"21,561"
10.06.2010,"21,559"
11.06.2010,"21,192"
14.06.2010,"20,963"
15.06.2010,"20,944"
16.06.2010,"20,969"
17.06.2010,"20,795"
18.06.2010,"20,798"
21.06.2010,"20,792"
22.06.2010,"21,037"
23.06.2010,"20,961"
24.06.2010,"21,016"
25.06.2010,"20,982"
28.06.2010,"20,862"
29.06.2010,"21,113"
30.06.2010,"20,947"
01.07.2010,"20,894"
02.07.2010,"20,518"
07.07.2010,"20,329"
08.07.2010,"20,098"
09.07.2010,"20,066"
12.07.2010,"20,138"
13.07.2010,"20,161"
14.07.2010,"20,042"
15.07.2010,"19,853"
16.07.2010,"19,562"
19.07.2010,"19,629"
20.07.2010,"19,738"
21.07.2010,"19,775"
22.07.2010,"19,583"
23.07.2010,"19,517"
26.07.2010,"19,428"
27.07.2010,"19,244"
28.07.2010,"19,233"
29.07.2010,"18,936"
30.07.2010,"19,029"
02.08.2010,"18,886"
03.08.2010,"18,685"
04.08.2010,"18,721"
05.08.2010,"18,774"
06.08.2010,"18,786"
09.08.2010,"18,693"
10.08.2010,"18,861"
11.08.2010,"19,063"
12.08.2010,"19,457"
13.08.2010,"19,441"
16.08.2010,"19,390"
17.08.2010,"19,289"
18.08.2010,"19,266"
19.08.2010,"19,319"
20.08.2010,"19,508"
23.08.2010,"19,525"
24.08.2010,"19,738"
25.08.2010,"19,753"
26.08.2010,"19,583"
27.08.2010,"19,479"
30.08.2010,"19,535"
31.08.2010,"19,595"
01.09.2010,"19,320"
02.09.2010,"19,275"
03.09.2010,"19,240"
06.09.2010,"19,187"
07.09.2010,"19,400"
08.09.2010,"19,460"
09.09.2010,"19,409"
10.09.2010,"19,393"
13.09.2010,"19,262"
14.09.2010,"19,106"
15.09.2010,"18,951"
16.09.2010,"18,818"
17.09.2010,"18,896"
20.09.2010,"18,867"
21.09.2010,"18,795"
22.09.2010,"18,388"
23.09.2010,"18,479"
24.09.2010,"18,367"
27.09.2010,"18,235"
29.09.2010,"18,051"
30.09.2010,"18,025"
01.10.2010,"17,800"
04.10.2010,"17,852"
05.10.2010,"17,778"
06.10.2010,"17,689"
07.10.2010,"17,539"
08.10.2010,"17,650"
11.10.2010,"17,606"
12.10.2010,"17,727"
13.10.2010,"17,527"
14.10.2010,"17,328"
15.10.2010,"17,361"
18.10.2010,"17,641"
19.10.2010,"17,697"
20.10.2010,"17,674"
21.10.2010,"17,508"
22.10.2010,"17,673"
25.10.2010,"17,468"
26.10.2010,"17,698"
27.10.2010,"17,862"
29.10.2010,"17,754"
01.11.2010,"17,613"
02.11.2010,"17,477"
03.11.2010,"17,483"
04.11.2010,"17,122"
05.11.2010,"17,462"
08.11.2010,"17,660"
09.11.2010,"17,631"
10.11.2010,"17,871"
11.11.2010,"17,979"
12.11.2010,"17,965"
15.11.2010,"18,071"
16.11.2010,"18,079"
18.11.2010,"18,063"
19.11.2010,"18,069"
22.11.2010,"18,096"
23.11.2010,"18,294"
24.11.2010,"18,510"
25.11.2010,"18,558"
26.11.2010,"18,698"
29.11.2010,"18,835"
30.11.2010,"19,165"
01.12.2010,"19,036"
02.12.2010,"19,009"
03.12.2010,"18,884"
06.12.2010,"18,857"
07.12.2010,"18,759"
08.12.2010,"19,008"
09.12.2010,"18,977"
10.12.2010,"19,000"
13.12.2010,"18,967"
14.12.2010,"18,725"
15.12.2010,"18,829"
16.12.2010,"19,003"
17.12.2010,"19,022"
20.12.2010,"19,219"
21.12.2010,"19,198"
22.12.2010,"19,272"
23.12.2010,"19,369"
27.12.2010,"19,289"
28.12.2010,"19,210"
29.12.2010,"19,228"
30.12.2010,"18,994"
31.12.2010,"18,751"
03.01.2011,"18,792"
04.01.2011,"18,543"
05.01.2011,"18,822"
06.01.2011,"18,874"
07.01.2011,"18,952"
10.01.2011,"19,102"
11.01.2011,"18,957"
12.01.2011,"18,796"
13.01.2011,"18,464"
14.01.2011,"18,258"
17.01.2011,"18,284"
18.01.2011,"18,168"
19.01.2011,"17,967"
20.01.2011,"18,117"
21.01.2011,"17,966"
24.01.2011,"17,844"
25.01.2011,"17,811"
26.01.2011,"17,697"
27.01.2011,"17,671"
28.01.2011,"17,682"
31.01.2011,"17,696"
01.02.2011,"17,528"
02.02.2011,"17,481"
03.02.2011,"17,528"
04.02.2011,"17,615"
07.02.2011,"17,754"
08.02.2011,"17,616"
09.02.2011,"17,740"
10.02.2011,"17,821"
11.02.2011,"17,932"
14.02.2011,"18,034"
15.02.2011,"17,979"
16.02.2011,"18,005"
17.02.2011,"17,941"
18.02.2011,"17,877"
21.02.2011,"17,893"
22.02.2011,"17,920"
23.02.2011,"17,856"
24.02.2011,"17,810"
25.02.2011,"17,793"
28.02.2011,"17,598"
01.03.2011,"17,610"
02.03.2011,"17,588"
03.03.2011,"17,478"
04.03.2011,"17,417"
07.03.2011,"17,267"
08.03.2011,"17,434"
09.03.2011,"17,430"
10.03.2011,"17,633"
11.03.2011,"17,668"
14.03.2011,"17,451"
15.03.2011,"17,570"
16.03.2011,"17,471"
17.03.2011,"17,424"
18.03.2011,"17,257"
21.03.2011,"17,236"
22.03.2011,"17,200"
23.03.2011,"17,274"
24.03.2011,"17,377"
25.03.2011,"17,373"
28.03.2011,"17,492"
29.03.2011,"17,430"
30.03.2011,"17,406"
31.03.2011,"17,274"
01.04.2011,"17,338"
04.04.2011,"17,179"
05.04.2011,"17,250"
06.04.2011,"17,077"
07.04.2011,"17,107"
08.04.2011,"16,959"
11.04.2011,"16,929"
12.04.2011,"16,893"
13.04.2011,"16,834"
14.04.2011,"16,844"
15.04.2011,"16,754"
18.04.2011,"16,944"
19.04.2011,"16,869"
20.04.2011,"16,655"
21.04.2011,"16,579"
22.04.2011,"16,582"
26.04.2011,"16,491"
27.04.2011,"16,457"
28.04.2011,"16,305"
29.04.2011,"16,292"
02.05.2011,"16,296"
03.05.2011,"16,355"
04.05.2011,"16,265"
05.05.2011,"16,325"
06.05.2011,"16,616"
09.05.2011,"16,795"
10.05.2011,"16,875"
11.05.2011,"16,897"
12.05.2011,"17,152"
13.05.2011,"17,079"
16.05.2011,"17,235"
17.05.2011,"17,260"
18.05.2011,"17,220"
19.05.2011,"17,150"
20.05.2011,"17,194"
23.05.2011,"17,500"
24.05.2011,"17,441"
25.05.2011,"17,467"
26.05.2011,"17,388"
27.05.2011,"17,238"
30.05.2011,"17,172"
31.05.2011,"17,056"
01.06.2011,"17,003"
02.06.2011,"16,965"
03.06.2011,"16,872"
06.06.2011,"16,676"
07.06.2011,"16,529"
08.06.2011,"16,574"
09.06.2011,"16,514"
10.06.2011,"16,663"
13.06.2011,"16,811"
14.06.2011,"16,691"
15.06.2011,"16,943"
16.06.2011,"17,239"
17.06.2011,"16,908"
20.06.2011,"16,947"
21.06.2011,"16,846"
22.06.2011,"16,870"
23.06.2011,"17,133"
24.06.2011,"17,143"
27.06.2011,"17,201"
28.06.2011,"17,106"
29.06.2011,"16,875"
30.06.2011,"16,845"
01.07.2011,"16,779"
04.07.2011,"16,737"
07.07.2011,"17,033"
08.07.2011,"17,004"
11.07.2011,"17,203"
12.07.2011,"17,346"
13.07.2011,"17,336"
14.07.2011,"17,209"
15.07.2011,"17,310"
18.07.2011,"17,364"
19.07.2011,"17,293"
20.07.2011,"17,240"
21.07.2011,"17,145"
22.07.2011,"16,964"
25.07.2011,"16,960"
26.07.2011,"16,831"
27.07.2011,"16,813"
28.07.2011,"16,980"
29.07.2011,"16,963"
01.08.2011,"16,762"
02.08.2011,"17,099"
03.08.2011,"16,974"
04.08.2011,"17,083"
05.08.2011,"17,134"
08.08.2011,"17,009"
09.08.2011,"16,976"
10.08.2011,"16,762"
11.08.2011,"17,096"
12.08.2011,"16,969"
15.08.2011,"16,993"
16.08.2011,"16,981"
17.08.2011,"16,874"
18.08.2011,"16,996"
19.08.2011,"17,014"
22.08.2011,"16,990"
23.08.2011,"16,880"
24.08.2011,"16,968"
25.08.2011,"16,801"
26.08.2011,"16,778"
29.08.2011,"16,647"
30.08.2011,"16,712"
31.08.2011,"16,687"
01.09.2011,"16,908"
02.09.2011,"17,053"
05.09.2011,"17,315"
06.09.2011,"17,345"
07.09.2011,"17,416"
08.09.2011,"17,385"
09.09.2011,"17,679"
12.09.2011,"17,963"
13.09.2011,"17,990"
14.09.2011,"17,878"
15.09.2011,"17,773"
16.09.2011,"17,782"
19.09.2011,"18,059"
20.09.2011,"17,985"
21.09.2011,"18,282"
22.09.2011,"18,494"
23.09.2011,"18,513"
26.09.2011,"18,290"
27.09.2011,"18,029"
29.09.2011,"18,036"
30.09.2011,"18,331"
03.10.2011,"18,665"
04.10.2011,"18,889"
05.10.2011,"18,597"
06.10.2011,"18,728"
07.10.2011,"18,440"
10.10.2011,"18,227"
11.10.2011,"18,213"
12.10.2011,"18,009"
13.10.2011,"18,028"
14.10.2011,"17,917"
17.10.2011,"17,976"
18.10.2011,"18,214"
19.10.2011,"17,985"
20.10.2011,"18,035"
21.10.2011,"18,113"
24.10.2011,"18,031"
25.10.2011,"17,895"
26.10.2011,"17,902"
27.10.2011,"17,690"
31.10.2011,"17,715"
01.11.2011,"18,374"
02.11.2011,"18,214"
03.11.2011,"18,092"
04.11.2011,"18,146"
07.11.2011,"18,186"
08.11.2011,"18,257"
09.11.2011,"18,660"
10.11.2011,"18,729"
11.11.2011,"18,829"
14.11.2011,"18,845"
15.11.2011,"19,048"
16.11.2011,"18,976"
18.11.2011,"18,765"
21.11.2011,"19,012"
22.11.2011,"18,827"
23.11.2011,"19,152"
24.11.2011,"19,218"
25.11.2011,"19,671"
28.11.2011,"19,288"
29.11.2011,"19,153"
30.11.2011,"18,838"
01.12.2011,"18,736"
02.12.2011,"18,647"
05.12.2011,"18,701"
06.12.2011,"18,837"
07.12.2011,"18,953"
08.12.2011,"18,815"
09.12.2011,"19,037"
12.12.2011,"19,299"
13.12.2011,"19,424"
14.12.2011,"19,733"
15.12.2011,"19,619"
16.12.2011,"19,391"
19.12.2011,"19,399"
20.12.2011,"19,498"
21.12.2011,"19,630"
22.12.2011,"19,644"
23.12.2011,"19,772"
27.12.2011,"19,727"
28.12.2011,"19,758"
29.12.2011,"20,100"
30.12.2011,"19,940"
02.01.2012,"19,718"
03.01.2012,"19,728"
04.01.2012,"19,893"
05.01.2012,"20,191"
06.01.2012,"20,232"
09.01.2012,"20,284"
10.01.2012,"20,131"
11.01.2012,"20,315"
12.01.2012,"20,084"
13.01.2012,"19,919"
16.01.2012,"20,200"
17.01.2012,"20,053"
18.01.2012,"19,916"
19.01.2012,"19,603"
20.01.2012,"19,736"
23.01.2012,"19,474"
24.01.2012,"19,546"
25.01.2012,"19,597"
26.01.2012,"19,178"
27.01.2012,"19,142"
30.01.2012,"19,271"
31.01.2012,"19,111"
01.02.2012,"19,090"
02.02.2012,"19,202"
03.02.2012,"19,045"
06.02.2012,"19,152"
07.02.2012,"19,070"
08.02.2012,"18,683"
09.02.2012,"18,806"
10.02.2012,"19,143"
13.02.2012,"18,896"
14.02.2012,"19,052"
15.02.2012,"19,245"
16.02.2012,"19,459"
17.02.2012,"18,997"
20.02.2012,"18,780"
21.02.2012,"18,845"
22.02.2012,"19,023"
23.02.2012,"18,854"
24.02.2012,"18,662"
27.02.2012,"18,709"
28.02.2012,"18,509"
29.02.2012,"18,479"
01.03.2012,"18,693"
02.03.2012,"18,698"
05.03.2012,"18,739"
06.03.2012,"18,905"
07.03.2012,"18,957"
08.03.2012,"18,706"
09.03.2012,"18,735"
12.03.2012,"18,723"
13.03.2012,"18,832"
14.03.2012,"18,845"
15.03.2012,"18,809"
16.03.2012,"18,682"
19.03.2012,"18,653"
20.03.2012,"18,537"
21.03.2012,"18,617"
22.03.2012,"18,787"
23.03.2012,"18,674"
26.03.2012,"18,551"
27.03.2012,"18,455"
28.03.2012,"18,448"
29.03.2012,"18,674"
30.03.2012,"18,521"
02.04.2012,"18,597"
03.04.2012,"18,490"
04.04.2012,"18,714"
05.04.2012,"18,902"
06.04.2012,"18,848"
10.04.2012,"18,899"
11.04.2012,"18,903"
12.04.2012,"18,860"
13.04.2012,"18,824"
16.04.2012,"19,038"
17.04.2012,"18,889"
18.04.2012,"18,948"
19.04.2012,"18,982"
20.04.2012,"18,882"
23.04.2012,"19,076"
24.04.2012,"18,989"
25.04.2012,"18,783"
26.04.2012,"18,732"
27.04.2012,"18,796"
30.04.2012,"18,818"
02.05.2012,"18,959"
03.05.2012,"19,000"
04.05.2012,"19,053"
07.05.2012,"19,204"
09.05.2012,"19,498"
10.05.2012,"19,411"
11.05.2012,"19,506"
14.05.2012,"19,744"
15.05.2012,"19,865"
16.05.2012,"19,991"
17.05.2012,"20,112"
18.05.2012,"19,902"
21.05.2012,"19,784"
22.05.2012,"19,800"
23.05.2012,"20,142"
24.05.2012,"20,221"
25.05.2012,"20,269"
28.05.2012,"20,138"
29.05.2012,"20,365"
30.05.2012,"20,633"
31.05.2012,"20,717"
01.06.2012,"20,925"
04.06.2012,"20,693"
05.06.2012,"20,694"
06.06.2012,"20,474"
07.06.2012,"20,106"
08.06.2012,"20,440"
11.06.2012,"20,249"
12.06.2012,"20,558"
13.06.2012,"20,405"
14.06.2012,"20,345"
15.06.2012,"20,318"
18.06.2012,"20,217"
19.06.2012,"20,199"
20.06.2012,"20,035"
21.06.2012,"20,270"
22.06.2012,"20,557"
25.06.2012,"20,669"
26.06.2012,"20,808"
27.06.2012,"20,766"
28.06.2012,"20,784"
29.06.2012,"20,361"
02.07.2012,"20,272"
03.07.2012,"20,321"
04.07.2012,"20,303"
09.07.2012,"20,769"
10.07.2012,"20,698"
11.07.2012,"20,712"
12.07.2012,"20,889"
13.07.2012,"20,839"
16.07.2012,"20,848"
17.07.2012,"20,633"
18.07.2012,"20,665"
19.07.2012,"20,604"
20.07.2012,"20,967"
23.07.2012,"21,133"
24.07.2012,"21,121"
25.07.2012,"21,061"
26.07.2012,"20,803"
27.07.2012,"20,544"
30.07.2012,"20,613"
31.07.2012,"20,560"
01.08.2012,"20,621"
02.08.2012,"20,462"
03.08.2012,"20,639"
06.08.2012,"20,327"
07.08.2012,"20,197"
08.08.2012,"20,406"
09.08.2012,"20,429"
10.08.2012,"20,548"
13.08.2012,"20,376"
14.08.2012,"20,264"
15.08.2012,"20,336"
16.08.2012,"20,281"
17.08.2012,"20,280"
20.08.2012,"20,243"
21.08.2012,"19,940"
22.08.2012,"20,058"
23.08.2012,"19,839"
24.08.2012,"19,910"
27.08.2012,"19,832"
28.08.2012,"19,784"
29.08.2012,"19,776"
30.08.2012,"19,862"
31.08.2012,"19,700"
03.09.2012,"19,805"
04.09.2012,"19,781"
05.09.2012,"19,699"
06.09.2012,"19,561"
07.09.2012,"19,348"
10.09.2012,"19,200"
11.09.2012,"19,198"
12.09.2012,"18,955"
13.09.2012,"18,961"
14.09.2012,"18,659"
17.09.2012,"18,719"
18.09.2012,"19,005"
19.09.2012,"19,119"
20.09.2012,"19,235"
21.09.2012,"19,094"
24.09.2012,"19,309"
25.09.2012,"19,265"
26.09.2012,"19,452"
27.09.2012,"19,316"
01.10.2012,"19,470"
02.10.2012,"19,376"
03.10.2012,"19,399"
04.10.2012,"19,271"
05.10.2012,"19,158"
08.10.2012,"19,214"
09.10.2012,"19,249"
10.10.2012,"19,353"
11.10.2012,"19,301"
12.10.2012,"19,238"
15.10.2012,"19,219"
16.10.2012,"19,062"
17.10.2012,"18,903"
18.10.2012,"18,872"
19.10.2012,"19,035"
22.10.2012,"19,055"
23.10.2012,"19,150"
24.10.2012,"19,299"
25.10.2012,"19,167"
26.10.2012,"19,288"
29.10.2012,"19,398"
30.10.2012,"19,306"
31.10.2012,"19,290"
01.11.2012,"19,440"
02.11.2012,"19,637"
05.11.2012,"19,746"
06.11.2012,"19,762"
07.11.2012,"19,930"
08.11.2012,"19,962"
09.11.2012,"20,001"
12.11.2012,"19,921"
13.11.2012,"20,046"
14.11.2012,"20,031"
15.11.2012,"20,053"
16.11.2012,"20,028"
19.11.2012,"19,914"
20.11.2012,"19,831"
21.11.2012,"19,895"
22.11.2012,"19,715"
23.11.2012,"19,636"
26.11.2012,"19,507"
27.11.2012,"19,529"
28.11.2012,"19,598"
29.11.2012,"19,413"
30.11.2012,"19,449"
03.12.2012,"19,338"
04.12.2012,"19,280"
05.12.2012,"19,308"
06.12.2012,"19,275"
07.12.2012,"19,527"
10.12.2012,"19,517"
11.12.2012,"19,463"
12.12.2012,"19,371"
13.12.2012,"19,339"
14.12.2012,"19,288"
17.12.2012,"19,162"
18.12.2012,"19,124"
19.12.2012,"18,983"
20.12.2012,"19,043"
21.12.2012,"19,071"
27.12.2012,"18,921"
28.12.2012,"19,072"
31.12.2012,"19,055"
02.01.2013,"19,023"
03.01.2013,"19,279"
04.01.2013,"19,490"
07.01.2013,"19,577"
08.01.2013,"19,545"
09.01.2013,"19,547"
10.01.2013,"19,545"
11.01.2013,"19,280"
14.01.2013,"19,201"
15.01.2013,"19,217"
16.01.2013,"19,270"
17.01.2013,"19,103"
18.01.2013,"19,239"
21.01.2013,"19,236"
22.01.2013,"19,231"
23.01.2013,"19,203"
24.01.2013,"19,172"
25.01.2013,"19,012"
28.01.2013,"19,116"
29.01.2013,"19,102"
30.01.2013,"18,949"
31.01.2013,"18,903"
01.02.2013,"18,786"
04.02.2013,"18,943"
05.02.2013,"18,952"
06.02.2013,"19,041"
07.02.2013,"18,657"
08.02.2013,"18,873"
11.02.2013,"18,849"
12.02.2013,"18,838"
13.02.2013,"18,853"
14.02.2013,"19,044"
15.02.2013,"19,046"
18.02.2013,"19,015"
19.02.2013,"19,055"
20.02.2013,"18,994"
21.02.2013,"19,334"
22.02.2013,"19,341"
25.02.2013,"19,189"
26.02.2013,"19,544"
27.02.2013,"19,575"
28.02.2013,"19,525"
01.03.2013,"19,749"
04.03.2013,"19,727"
05.03.2013,"19,656"
06.03.2013,"19,615"
07.03.2013,"19,606"
08.03.2013,"19,436"
11.03.2013,"19,660"
12.03.2013,"19,656"
13.03.2013,"19,745"
14.03.2013,"19,802"
15.03.2013,"19,545"
18.03.2013,"19,814"
19.03.2013,"19,808"
20.03.2013,"19,837"
21.03.2013,"19,993"
22.03.2013,"19,956"
25.03.2013,"19,889"
26.03.2013,"20,055"
27.03.2013,"20,214"
28.03.2013,"20,090"
29.03.2013,"20,072"
02.04.2013,"20,153"
03.04.2013,"20,116"
04.04.2013,"20,139"
