Datum,Kurz
02.01.2009,"19,347"
05.01.2009,"19,695"
06.01.2009,"19,809"
07.01.2009,"19,185"
08.01.2009,"19,222"
09.01.2009,"19,351"
12.01.2009,"19,846"
13.01.2009,"20,174"
14.01.2009,"20,440"
15.01.2009,"20,860"
16.01.2009,"20,467"
19.01.2009,"21,004"
20.01.2009,"21,578"
21.01.2009,"21,362"
22.01.2009,"21,321"
23.01.2009,"21,959"
26.01.2009,"21,318"
27.01.2009,"20,977"
28.01.2009,"20,629"
29.01.2009,"20,947"
30.01.2009,"21,744"
02.02.2009,"22,056"
03.02.2009,"22,107"
04.02.2009,"22,125"
05.02.2009,"22,014"
06.02.2009,"21,901"
09.02.2009,"21,340"
10.02.2009,"21,598"
11.02.2009,"22,091"
12.02.2009,"22,304"
13.02.2009,"22,285"
16.02.2009,"22,819"
17.02.2009,"23,333"
18.02.2009,"22,900"
19.02.2009,"22,505"
20.02.2009,"22,882"
23.02.2009,"22,231"
24.02.2009,"22,202"
25.02.2009,"22,154"
26.02.2009,"22,122"
27.02.2009,"22,245"
02.03.2009,"22,470"
03.03.2009,"22,165"
04.03.2009,"22,076"
05.03.2009,"22,093"
06.03.2009,"22,155"
09.03.2009,"21,994"
10.03.2009,"21,270"
11.03.2009,"21,084"
12.03.2009,"21,126"
13.03.2009,"20,603"
16.03.2009,"20,337"
17.03.2009,"20,470"
18.03.2009,"20,558"
19.03.2009,"19,591"
20.03.2009,"19,639"
23.03.2009,"19,777"
24.03.2009,"19,997"
25.03.2009,"20,238"
26.03.2009,"20,012"
27.03.2009,"20,462"
30.03.2009,"20,818"
31.03.2009,"20,565"
01.04.2009,"20,489"
02.04.2009,"20,073"
03.04.2009,"19,812"
06.04.2009,"19,679"
07.04.2009,"20,046"
08.04.2009,"20,094"
09.04.2009,"19,971"
10.04.2009,"20,119"
14.04.2009,"20,013"
15.04.2009,"20,401"
16.04.2009,"20,402"
17.04.2009,"20,522"
20.04.2009,"20,827"
21.04.2009,"20,905"
22.04.2009,"20,911"
23.04.2009,"20,562"
24.04.2009,"20,191"
27.04.2009,"20,294"
28.04.2009,"20,579"
29.04.2009,"20,132"
30.04.2009,"20,121"
04.05.2009,"20,145"
05.05.2009,"19,761"
06.05.2009,"20,067"
07.05.2009,"19,794"
11.05.2009,"19,713"
12.05.2009,"19,549"
13.05.2009,"19,656"
14.05.2009,"19,865"
15.05.2009,"19,987"
18.05.2009,"19,931"
19.05.2009,"19,595"
20.05.2009,"19,449"
21.05.2009,"19,413"
22.05.2009,"19,109"
25.05.2009,"19,061"
26.05.2009,"19,203"
27.05.2009,"19,222"
28.05.2009,"19,309"
