OBJECTID,ID,Y,X,NAZEV,AKTUALIZACE,CENA,JMENO
1,6874,49.99633,13.555445,"Roal, Pražská 436, Kožlany",05.11.2014 10:42,35.6,Roal
2,6420,49.967809,15.708308,"MB Skuteč, Rozhovice 92",05.11.2014 10:41,35.5,MB Skuteč
3,5882,49.913721,15.87185,"ČS Zaječice, Zaječice",05.11.2014 10:38,33.2,ČS Zaječice
4,7029,49.23884,17.87911,"Shell Czech Republic, a.s., silnice 69, Lutonina",05.11.2014 10:38,36.9,Shell Czech Republic
5,6179,50.151075,14.511122,"Globus, Kostelecká 823/77, Praha 9-Čakovice",05.11.2014 10:36,34.4,Globus
6,6832,49.312202,16.486447,"Petria, Čebín 1, silnice 385",05.11.2014 10:36,35.1,Petria
7,5733,49.09361,17.74361,"Benzina Plus, Uherskobrodská 981, Luhačovice",05.11.2014 10:36,36.4,Benzina Plus
8,6833,49.317433,14.132356,"Petrol, Pražská 443/59, Písek",05.11.2014 10:35,32.9,Petrol
9,5607,49.315975,14.136379,"Benzina, Pražská 441, Písek",05.11.2014 10:35,34.9,Benzina
10,6844,49.332158,16.438542,"ERNEKS/oil TEAM, Hradčany 905, Hradčany",05.11.2014 10:35,34.9,ERNEKS/oil TEAM
11,6396,50.7331761,15.0507858,"MAKRO Cash &amp; Carry ČR, s.r.o., Sportovní 522, Libe",05.11.2014 10:35,35.4,MAKRO Cash &amp; Carry ČR
12,7689,49.317754,14.157496,"Auto Peli, Písek, Vrcovická 2230",05.11.2014 10:34,33.1,Auto Peli
13,5349,50.00722,16.473736,"Agro Žamberk, Dolní Dobrouč",05.11.2014 10:34,35.9,Agro Žamberk
14,6632,50.14678,14.4945,"OMV, Cínovecká, Praha 8-Ďáblice",05.11.2014 10:33,37.4,OMV
15,5533,50.442601,15.339178,"Benzina, M. Koněva, Jičín",05.11.2014 10:32,36.4,Benzina
16,7339,50.616144,15.111786,"Weiss Miroslav, silnice R35, Paceřice",05.11.2014 10:31,35.9,Weiss Miroslav
17,5611,49.723163,13.354421,"Benzina, Univerzitní, Plzeň-Bory",05.11.2014 10:30,35.9,Benzina
18,7014,50.733849,15.157878,"Shell Czech Republic, a.s., Želivského 1c, Jablone",05.11.2014 10:30,36.9,Shell Czech Republic
19,6708,50.735902,15.159876,"PapOil, Želivského, Jablonec nad Nisou",05.11.2014 10:28,35.9,PapOil
20,6219,49.841838,18.134121,"Chemis engine, Krásnopolská 582, Krásné pole",05.11.2014 10:26,35.2,Chemis engine
21,6950,50.311426,12.941412,"Shell Czech Republic, a.s., Obchodní, Ostrov",05.11.2014 10:25,35.9,Shell Czech Republic
22,7153,49.41166,15.720875,"Slovnaft, dálnice D1, směr Brno, Kozlov 147",05.11.2014 10:24,34.9,Slovnaft
23,5773,50.00916,14.54277,"Benzina Plus, Dálnice D1, směr Brno, Újezd u Průho",05.11.2014 10:24,35.9,Benzina Plus
24,6765,50.00522,14.56327,"PapOil, dálnice D1, směr Brno, Průhonice",05.11.2014 10:24,37.9,PapOil
25,5726,49.753055,15.01863,"Benzina Plus, dálnice D1, směr Brno, Střechov",05.11.2014 10:24,38.9,Benzina Plus
26,5736,49.269736,16.277544,"Benzina Plus, dálnice D1, směr Brno, Velká Bíteš",05.11.2014 10:24,38.9,Benzina Plus
27,6378,49.35828,16.01933,"LukOil, dálnice D1, směr Brno, Velké Meziříčí",05.11.2014 10:24,38.9,LukOil
28,7032,49.377867,15.945884,"Shell Czech Republic, a.s., dálnice D1, směr Brno,",05.11.2014 10:24,38.9,Shell Czech Republic
29,5230,49.84072,14.81262,"Agip, dálnice D1, směr Brno, Bělčice",05.11.2014 10:24,39.9,Agip
30,5336,49.17336,16.51174,"Agip, dálnice D1, směr Brno, Troubsko",05.11.2014 10:24,39.9,Agip
31,6526,49.51444,15.41694,"OMV, dálnice D1, směr Brno, Herálec-Mikulášov",05.11.2014 10:24,39.9,OMV
32,6367,50.021134,15.732558,"LukOil, Pražská, Pardubice",05.11.2014 10:23,36,LukOil
33,5889,48.89495,17.508858,"ČSAD Hodonín, Předměstí 993, Velká nad Veličkou",05.11.2014 10:23,34.9,ČSAD Hodonín
34,6794,49.291923,14.805402,"PapOil, silnice 135, Tučapy",05.11.2014 10:22,34.9,PapOil
35,7013,49.9561,15.79928,"Shell Czech Republic, a.s., Dašická, Chrudim",05.11.2014 10:21,36.2,Shell Czech Republic
36,5448,50.510782,13.633497,"B.P. City, Čsl. armády 1295, Most",05.11.2014 10:20,34.5,B.P. City
37,5306,50.066548,14.445624,"Agip, Vršovická, Praha 10-Vršovice",05.11.2014 10:15,36.9,Agip
38,6960,50.323839,13.569578,"Silmet, Pražská 2922, Žatec",05.11.2014 10:15,35.8,Silmet
39,5570,49.771509,16.913291,"Benzina, silnice R35, směr Olomouc, Mohelnice",05.11.2014 10:14,35.9,Benzina
40,5571,49.77,16.91388,"Benzina, silnice R35, směr Zábřeh, Mohelnice",05.11.2014 10:14,35.9,Benzina
41,7072,50.09342,14.33206,"Shell Czech Republic, a.s., Evropská, Praha 6-Voko",05.11.2014 10:14,38.3,Shell Czech Republic
42,6753,50.235033,13.408248,"PapOil, Kadaňská, Podbořany",05.11.2014 10:14,35.5,PapOil
43,6675,50.313692,13.532654,"OMV, Husova 2921, Žatec",05.11.2014 10:14,36.2,OMV
44,5371,49.050025,17.46522,"Albert ČS, Třída Vítězství 841, Kunovice",05.11.2014 10:13,35.1,Albert ČS
45,5278,49.050326,17.465919,"Agip, třída Vítězství, Kunovice",05.11.2014 10:13,36.4,Agip
46,6153,50.337477,13.544919,"Bexon, Osvoboditelů, Žatec",05.11.2014 10:13,34.9,Bexon
47,6279,50.319122,13.5296,"KM-Prona, Čeradická 2031, Žatec",05.11.2014 10:13,35.5,KM-Prona
48,5872,50.178671,13.434451,"ČS, Hlavní, Kryry",05.11.2014 10:13,36.9,ČS
49,5415,50.064284,14.503963,"Auto Petrol s.r.o., Průběžná 82, Praha 10-Strašnic",05.11.2014 10:12,35.5,Auto Petrol s.r.o.
50,5694,50.333199,13.538973,"Benzina, Okurkové náměstí, Žatec",05.11.2014 10:12,36.2,Benzina
51,5530,49.905374,15.922777,"Benzina, Tyršova, Chrást u Chrudimi",05.11.2014 10:11,33.6,Benzina
52,7336,49.39985,14.480403,"Wágnerová, Opařany",05.11.2014 10:10,35,Wágnerová
53,6604,49.7357,13.328472,"OMV, Domažlická 1127/168, Plzeň",05.11.2014 10:10,36.2,OMV
54,7219,49.736652,13.330802,"Tank ONO, s.r.o., Domažlická 160, Plzeň",05.11.2014 10:09,32.9,Tank ONO
55,6734,50.645189,14.739517,"PapOil, Pražská, Mimoň",05.11.2014 10:09,36.4,PapOil
