"stanice","natural","diesel","okres","kraj"
"MAKRO Cash & Carry ČR, s.r.o., Rovná 181, Hradec K",34.9,34.2,"Hradec Králové","Královéhradecký"
"LukOil, Hradecká 602/74, Hradec Králové",35.9,35.2,"Hradec Králové","Královéhradecký"
"Shell Czech Republic, a.s., Podlouckého, Nové Měst",36.2,35.5,"Žďár nad Sázavou","Vysočina"
"HDB, náměstí 5. května 835/10, Hradec Králové",36.4,35.8,"Hradec Králové","Královéhradecký"
"Tesco Stores ČR, a.s., Rašínova Třída 1669, Hradec",34.9,34.2,"Hradec Králové","Královéhradecký"
"Calibra Plus, U Fryšávky 315, Jimramov",36.2,35.4,"Žďár nad Sázavou","Vysočina"
"Benzina, Brněnská 255, Nové Město na Moravě",36.2,35.5,"Žďár nad Sázavou","Vysočina"
"KONT.CZ, Holická, Hradec Králové",36.2,35.9,"Hradec Králové","Královéhradecký"
"Shell Czech Republic, a.s., Pilnáčkova, Hradec Krá",36.9,36.5,"Hradec Králové","Královéhradecký"
"ČSAD Hodonín, tř. Masarykova 1689, Veselí nad Mora",34.5,34.1,"Hodonín","Jihomoravský"
"OMV, Sokolská 2a, Hradec Králové",37.2,36.5,"Hradec Králové","Královéhradecký"
"OMV, Pilnáčkova, Hradec Králové",37.2,36.5,"Hradec Králové","Královéhradecký"
"Shell Czech Republic, a.s., Rašínova třída 1, do c",36.9,36.5,"Hradec Králové","Královéhradecký"
"Shell Czech Republic, a.s., Rašínova třída 2, z ce",36.9,36.5,"Hradec Králové","Královéhradecký"
"SVA, Marie Majerové 297, Třebíč",35.5,34.7,"Třebíč","Vysočina"
"PapOil, Proskovická, Ostrava",35.9,34.7,"Ostrava-město","Moravskoslezský"
"Benzina, Trocnovská 801, Trhové Sviny",35.7,34.9,"České Budějovice","Jihočeský"
"PapOil, Trocnovská (areál ČSAD Trhové Sviny",35.7,34.9,"České Budějovice","Jihočeský"
"LukOil, Masarykova 639, Kutná Hora",35.9,34.9,"Kutná Hora","Středočeský"
"Shell Czech Republic, a.s., silnice 38, Malín",36.4,35.9,"Kutná Hora","Středočeský"
"Unicorn, Vídeňská, Modřice 656",34.4,33.8,"Brno-venkov","Jihomoravský"
"Benzina, Žatecká 863, Kralovice",35.5,34.9,"Plzeň-sever","Plzeňský"
"TOLOSANER a.s., Solná cesta 341, Uherské Hradiště",35.6,34.9,"Uherské Hradiště","Zlínský"
"Benzina, Pardubická, Přelouč",36.5,35.5,"Pardubice","Pardubický"
"TOLOSANER a.s., 5. května, Heřmanův Městec",33.3,33.3,"Chrudim","Pardubický"
"Trio, Nová Hospoda, silnice 21",34.9,34.4,"Tachov","Plzeňský"
"Benzina, Plzeňská, Bor",35.9,34.9,"Tachov","Plzeňský"
"OMV,Solná cesta 393, do centra, Uher",36.9,36.5,"Uherské Hradiště","Zlínský"
"Unicorn, tř.Masarykova, Veselí nad Moravou",34.1,33.2,"Hodonín","Jihomoravský"
"Šmída, Hodonínská 1582, Vracov",35.9,35.2,"Hodonín","Jihomoravský"
"PapOil, Pardubická 1517, Přelouč",36.5,35.5,"Pardubice","Pardubický"
"PapOil, Čtrnáctka, Mirošov",35.5,34.5,"Rokycany","Plzeňský"
"GBO, Vrchlabská, Jilemnice-Hrabačov",36.5,35.9,"Semily","Liberecký"
"PRIM, Urbanice č.p. 100, 503 27",33.9,33.5,"Hradec Králové","Královéhradecký"
"Benzina, Brněnská, Hradec Králové",36.4,34.9,"Hradec Králové","Královéhradecký"
"Benzina Plus, silnice E67, Černožice",36.2,35.6,"Hradec Králové","Královéhradecký"
"Vena Trade, Druzstevní 13, Mohelnice",33.7,33.4,"Šumperk","Olomoucký"
"Tesco Stores ČR, a.s., Kafkova 8, Olomouc",35.3,34.3,"Olomouc","Olomoucký"
"Shell Czech Republic, a.s., Edvarda Beneše, Plzeň",36.4,35.9,"Plzeň-město","Plzeňský"
"Arze, Bratří Štefanů, Hradec Králové",33.9,33.9,"Hradec Králové","Královéhradecký"
"Albert ČS, Kutnohorská 226, Hradec Králové",34.9,34.4,"Hradec Králové","Královéhradecký"
"UNO-HK, Dvorská 153/59, Hradec Králové",36.3,34.7,"Hradec Králové","Královéhradecký"
"Shell Czech Republic, a.s., Víta Nejedlého, Hradec",37.2,36.5,"Hradec Králové","Královéhradecký"
"OMV, Brněnská, Olomouc",37.2,36.7,"Olomouc","Olomoucký"
"LukOil, Koutníkova 39a, Hradec Králové",36,34.4,"Hradec Králové","Královéhradecký"
"Agip, Koutníkova 68, Hradec Králové",36.5,34.9,"Hradec Králové","Královéhradecký"
"Benzina Plus, Koutníkova 604, Hradec Králové",36.4,34.9,"Hradec Králové","Královéhradecký"
"ZD Nechanice, Staré Nechanice",35.5,34.9,"Hradec Králové","Královéhradecký"
"Agip, Třída Čs. armády 830, Veselí nad Lužnicí",35.9,35.3,"Tábor","Jihočeský"
"Enzo, Smiřice-Trotina",34.9,33.9,"Hradec Králové","Královéhradecký"
"BBK Oil, Kratonohy 101",34.9,34.4,"Hradec Králové","Královéhradecký"
"UNO-HK, silnice E442, Všestary-Rozběřice 39",35.9,34.5,"Hradec Králové","Královéhradecký"
"Jan Špatenka a syn, Libřice 91",35.8,34.8,"Hradec Králové","Královéhradecký"
"Poprop, Piletická 55, Hradec Králové-Piletice",35.5,34.5,"Hradec Králové","Královéhradecký"
"Dítě Logistic, Kladská 916/65, Hradec Králové",35.9,34.9,"Hradec Králové","Královéhradecký"
"EUROBIT, Úpská, Svoboda nad Úpou",33.3,32.9,"Trutnov","Královéhradecký"
"Cargas, Brněnec-Moravská Chrastová",34.9,32.9,"Svitavy","Pardubický"
"Benzina, silnice 43, Hradec nad Svitavou",35.4,34.7,"Svitavy","Pardubický"
"KM-Prona, Pec pod Sněžkou-Velká Úpa 330",34.9,34.2,"Trutnov","Královéhradecký"
"Benzina, Krkonošská, Trutnov",35.5,34.3,"Trutnov","Královéhradecký"
"OMV, Kapitána Jarose 64/727, Svitavy",36.2,35.9,"Svitavy","Pardubický"
"Tank ONO, s.r.o., silnice E442, Vysoké Mýto-Voštic",32.9,32.9,"Ústí nad Orlicí","Pardubický"
"Medos, Věrušičky 60",35.4,35.5,"Karlovy Vary","Karlovarský"
"TOLOSANER a.s., Děčínská 100, Benešov nad Ploučnic",34.9,34.4,"Děčín","-stecký"
"Tesco Stores ČR, a.s., Ústecká 8, Děčín",35.5,34.9,"Děčín","-stecký"
"Pasoil, Jílové-Modrá 176",35.9,33.9,"Děčín","-stecký"
"RoBiN OIL, s.r.o., silnice 13, Markvartice 122",35.3,34.8,"Děčín","-stecký"
"SVA, Velkomeziříčská 598, Třebíč",35.5,34.7,"Třebíč","Vysočina"
"EKO Litice, Klatovská 507, Plzeň-Litice",35.5,34.9,"Plzeň-město","Plzeňský"
"Benzina, Úpská 407, Svoboda nad Úpou",33.3,32.9,"Trutnov","Královéhradecký"
"Marek Honemeyer, Vlčická, Trutnov",34.8,33.8,"Trutnov","Královéhradecký"
"PapOil, Vítězství, Děčín-Boletice nad Labem",35.3,34.7,"Děčín","-stecký"
"PapOil, silnice E442, Huntířov 187",35.3,34.7,"Děčín","-stecký"
"OMV, Kamenická 13, Děčín",37.9,37.7,"Děčín","-stecký"
"Agro Žamberk, Nekoř 279",35.5,35.2,"Ústí nad Orlicí","Pardubický"
"OMV, Litoměřická 19, Děčín",37.9,37.7,"Děčín","-stecký"
"RoBiN OIL, s.r.o., Písecká 407, Strakonice",34.3,33.9,"Strakonice","Jihočeský"
"OMV, Děčínská, Česká Kamenice",35.2,34.9,"Děčín","-stecký"
"GP Gáz Petrol, Dobkovice 130",36.7,35.5,"Děčín","-stecký"
"RoBiN OIL, s.r.o., silnice 170, Vacov-Vlkonice 127",34.8,33.8,"Prachatice","Jihočeský"
"Evapp, Kostelecká, Mratín",36.8,36.3,"Praha-východ","Středočeský"
"Benzina, Dukelských hrdinů, Česká Kamenice",35.2,34.9,"Děčín","-stecký"
"Benzina, 1.máje 16, Mohelnice",35.2,34.2,"Šumperk","Olomoucký"
"Albert ČS, Uhelná 1896/2, Děčín",36.9,36.1,"Děčín","-stecký"
"Oktan, Táborská, Mladá Vožice",34.5,34.5,"Tábor","Jihočeský"
"SMR, Dobrušská 602, Solnice",36.9,35.5,"Rychnov nad Kněžnou","Královéhradecký"
"Armex Oil, Folknářská 21, Děčín",35.9,35.5,"Děčín","-stecký"
"AMODO, Dřevčická 12, Praha 10-Strašnice",34.9,33.9,"Hlavní město Praha","Hlavní město Praha"
"ADW, Poděbradova 577, Jaroměřice nad Rokytnou",35.2,34.7,"Třebíč","Vysočina"
"Agip, Palackého třída, Pardubice",34.5,35.5,"Pardubice","Pardubický"
"HDB, Skuhrov nad Bělou",36.6,35.9,"Rychnov nad Kněžnou","Královéhradecký"
"Agip, Loubská 86, Děčín",35.9,35.9,"Děčín","-stecký"
"Lucky CS Gold, Neplachovice-Zadky 23",34.9,34.5,"Opava","Moravskoslezský"
"Benzina, T. G. Masaryka, Nové Město nad Metují",36.5,35.5,"Náchod","Královéhradecký"
"Benzina, Slavatovská 451, Telč",36.2,35.4,"Jihlava","Vysočina"
"Benzina, Hradecká, Telč",36.2,35.4,"Jihlava","Vysočina"
"TOLOSANER a.s., Hlavní 220, Neplachovice",35.4,35.9,"Opava","Moravskoslezský"
"WGW, Vojtěcha Kováře 128, Rumburk",33.7,32.9,"Děčín","-stecký"
"OMV, Chválkovická, Olomouc",36.9,36.2,"Olomouc","Olomoucký"
"Oldos, Chválkovická, Olomouc",34.3,33.8,"Olomouc","Olomoucký"
"Paramo, Loket 49",35.9,35.9,"Benešov","Středočeský"
"Globus, Černovická 5430, Chomutov",34.8,33.9,"Chomutov","-stecký"
"Agip, Černovická 5362, Chomutov",36.5,35.2,"Chomutov","-stecký"
"Agip, Spořická 5351, Chomutov",36.5,35.2,"Chomutov","-stecký"
"ČS, Vlašimská, Čechtice",37.1,36.1,"Benešov","Středočeský"
"OMV, Jana Želivského 113, Praha 3-Žizkov",36.9,36.4,"Hlavní město Praha","Hlavní město Praha"
"Tesco Stores ČR, a.s., Brněnská 74, Jihlava",34.9,33.9,"Jihlava","Vysočina"
"Cihelna Ivančice, Na Brněnce 25, Ivančice",35.9,34.9,"Brno-venkov","Jihomoravský"
"East Oil, Hradecká, Brno-Ivanovice",36.4,35.9,"Brno-město","Jihomoravský"
"Agip, Sportovní, Brno-Královo Pole",37.2,37.6,"Brno-město","Jihomoravský"
"Benzina, Wilsonova 736, Soběslav",35.9,34.9,"Tábor","Jihočeský"
"OMV, Znojemská 78/2716, Jihlava",35.9,34.9,"Jihlava","Vysočina"
"Shell Czech Republic, a.s., Budějovická 9, Týn nad",35.7,35.7,"České Budějovice","Jihočeský"
"Shell Czech Republic, a.s., Brněnská 62, Jihlava",36.4,35.9,"Jihlava","Vysočina"
"Benzina Plus, dálnice D5, směr Plzeň, Rudná",38.2,37.9,"Praha-západ","Středočeský"
"OMV, dálnice D5, exit směr Plzeň, Beroun",38.2,38.2,"Beroun","Středočeský"
"Agip, dálnice D5, směr Plzeň, Záluží",39.7,39.7,"Beroun","Středočeský"
"Eurobit",33.3,32.9,"Vsetín","Zlínský"
"ČS, Nádražní 976, Kopřivnice",35.9,35.9,"Nový Jičín","Moravskoslezský"
"PapOil, silnice 58, Kopřivnice-Lubina 440",36.9,36.6,"Nový Jičín","Moravskoslezský"
"LukOil, U nákladového nádraží 2459/2a, Praha 3-Žiž",34.9,33.9,"Hlavní město Praha","Hlavní město Praha"
"Autocentrum Novotný, Táborská 568, Týn nad Vltavou",34.7,34.2,"České Budějovice","Jihočeský"
"Orima, Volšovská 80, Sušice",35.5,35.5,"Klatovy","Plzeňský"
"Totoil, K Červenému dvoru 2132/24, Praha 3-Malešic",33.9,33.5,"Hlavní město Praha","Hlavní město Praha"
"PaedDr. Monika Kutilová, Kpt. Jaroše 359, Tábor-Kl",35.5,35,"Tábor","Jihočeský"
"Benzina, silnice E442, Býšť 81",35.9,35.5,"Pardubice","Pardubický"
"Jan Hruboš, Veletiny 219",36.8,36.4,"Uherské Hradiště","Zlínský"
"Shell Czech Republic, a.s., Hradišťská 1947, Staré",36.4,36.4,"Uherské Hradiště","Zlínský"
"Benzina, silnice E50, Drslavice",36.9,36.5,"Uherské Hradiště","Zlínský"
"OMV, Dolní Hejčínská 30, Olomouc",37.2,36.7,"Olomouc","Olomoucký"
"PapOil, Žernovická, Prachatice",36.7,35.8,"Prachatice","Jihočeský"
"Benzina, Krumlovská, Prachatice",36.7,35.8,"Prachatice","Jihočeský"
"Benzina Plus, Nebahovská, Prachatice",36.9,36.2,"Prachatice","Jihočeský"
"Shell Czech Republic, a.s., Mostecká, Vsetín",36.9,36.5,"Vsetín","Zlínský"
"Top Tank F1 gas, Rozvadov 20",36.4,34.2,"Tachov","Plzeňský"
"Kontakt, 5.května, Lomnice nad Popelkou",36.1,35.6,"Semily","Liberecký"
"RoBiN OIL, s.r.o., silnice 169, Dlouhá Ves",34.8,33.8,"Klatovy","Plzeňský"
"Shell Czech Republic, a.s., dálnice D5, MC´Donald",39.9,39.9,"Tachov","Plzeňský"
"Shell Czech Republic, a.s., dálnice D5, směr Plzeň",39.9,39.9,"Tachov","Plzeňský"
"OMV, silnice 605, Rozvadov 111",36.4,34.1,"Tachov","Plzeňský"
"Agip, Nemocniční, Český Krumlov",37.6,37.6,"Leský Krumlov","Jihočeský"
"Benzina, silnice 324, Pardubice-Dražkovice",35.5,34.7,"Pardubice","Pardubický"
"OMV, Dědická 696, Vyškov",36.9,36.4,"Vyškov","Jihomoravský"
"Agip, dálnice D5, směr Německo, Svatá Kateřina",39.9,39.9,"Tachov","Plzeňský"
"Silmet, Vsetínská 653, Karolinka",36.5,35.9,"Vsetín","Zlínský"
"Benzina, Václavská 890, Jindřichův Hradec",34.5,34.2,"Jindřichův Hradec","Jihočeský"
"Shell Czech Republic, a.s., Velkomoravská 65, Olom",37.3,36.9,"Olomouc","Olomoucký"
"PapOil, Žižkovo náměstí, Borovany",35.5,34.9,"České Budějovice","Jihočeský"
"DAG, Budějovická 178, Ledenice",35,34,"České Budějovice","Jihočeský"
"ERNEKS/oil TEAM, U řeky, Ostrava-Hrabová",34.9,33.9,"Ostrava-město","Moravskoslezský"
"Benzina, Aviatiků 2a, Ostrava-Hrabová",35.5,34.9,"Ostrava-město","Moravskoslezský"
"Shell Czech Republic, a.s., Frýdecká 724, Ostrava-",36.9,36.7,"Ostrava-město","Moravskoslezský"
"Benzina Plus, Valteřická, Vrchlabí",36.2,35.2,"Trutnov","Královéhradecký"
"Kontakt, Lánovská 1511, Vrchlabí",36.2,35.2,"Trutnov","Královéhradecký"
"LukOil, Lánovská 1462, Vrchlabí",36.2,35.2,"Trutnov","Královéhradecký"
"PapOil, silnice 14, Lánov",35.9,34.9,"Trutnov","Královéhradecký"
"Benzina, Bořkovská, Slaná",35.5,35.2,"Semily","Liberecký"
"OMV, Lhotecká 2a, Praha 4-Kamýk",37.9,38.9,"Hlavní město Praha","Hlavní město Praha"
"GBO, Malá Skála, Malá Skála 696",35.5,35.3,"Jablonec nad Nisou","Liberecký"
"Erneks, Dolní Újezd 589",35.9,34.9,"Svitavy","Pardubický"
"LukOil, silnice R10, směr Praha, Praha 9-Horní Poč",36.3,35.4,"Hlavní město Praha","Hlavní město Praha"
"Benzina, Karlovarská, Toužim",35.9,35.5,"Karlovy Vary","Karlovarský"
"Limitoo, U Hlavní, Strání",36.2,35.5,"Uherské Hradiště","Zlínský"
"Kontakt, Průmyslová 3002, Turnov",36.7,35.9,"Semily","Liberecký"
"KM-Prona, Nádražní 848, Hostinné",34.5,35.5,"Trutnov","Královéhradecký"
"PapOil, Průmyslová 1442, Bzenec",35.8,34.8,"Hodonín","Jihomoravský"
"PapOil, silnice 38, Oseček",35.4,34.8,"Nymburk","Středočeský"
"Matimex, Poděbradská 4, Písková Lhota",34.9,34.9,"Nymburk","Středočeský"
"RoBiN OIL, s.r.o., Bílkova, Poděbrady-Kluk",35.9,34.9,"Nymburk","Středočeský"
"Chemis engine, Revoluční 762, Moravský Písek",35.8,34.7,"Hodonín","Jihomoravský"
"Benzina Plus, Valdštejnská, Turnov",36.2,35.5,"Semily","Liberecký"
"Kontakt, Svobodova 2050, Turnov",36.1,35.6,"Semily","Liberecký"
"OMV, Horní, Ostrava-Hrabůvka",36.9,35.7,"Ostrava-město","Moravskoslezský"
"OMV, Rudná, Ostrava-Kunčičky",36.9,35.7,"Ostrava-město","Moravskoslezský"
"Benzina, Hněvotínská 54, Olomouc",36.2,35.7,"Olomouc","Olomoucký"
"MP Word, Hodonínská, Dubňany",35.9,35.9,"Hodonín","Jihomoravský"
"Pletka, Volarská, 382 26  Horní Planá",36.6,36.1,"Leský Krumlov","Jihočeský"
"U Sv.Huberta, Hlavní 968, Dolní Bojanovice",35.9,35.5,"Hodonín","Jihomoravský"
"Vest, Slovenská, Bučovice",36.5,36.5,"Vyškov","Jihomoravský"
"HDB, Dvořákova 48, Vamberk",35.4,34.9,"Rychnov nad Kněžnou","Královéhradecký"
"PapOil, Spojovací, Křemže",36.5,36.5,"Leský Krumlov","Jihočeský"
"Fama, Záměl 219",35.4,34.9,"Rychnov nad Kněžnou","Královéhradecký"
"Dota, Králická 1007, Lanškroun",35.4,35.9,"Ústí nad Orlicí","Pardubický"
"TOLOSANER a.s., Dobrovského 977, Lanškroun",36.3,35.9,"Ústí nad Orlicí","Pardubický"
"Benzina Plus, Pražská 802, Chlumec nad Cidlinou",34.2,33.9,"Hradec Králové","Královéhradecký"
"Swiss Tank, silnice 611, Nové Město nad Cidlinou",34.2,33.9,"Hradec Králové","Královéhradecký"
"Mona Plus, Lovčice",33.9,33.9,"Hradec Králové","Královéhradecký"
"HDB, Lično 202",33.6,33.2,"Rychnov nad Kněžnou","Královéhradecký"
"OMV, Červené Vršky 2113, Benešov",36.9,36.5,"Benešov","Středočeský"
"Zdeněk Barták, Pražská 310, Neveklov",36.5,36.2,"Benešov","Středočeský"
"Kontakt, Mydlářská 189/3, Liberec 10",36.3,35.7,"Liberec","Liberecký"
"Stajam, Pražská 376, Poříčí nad Sázavou",36.9,36.5,"Benešov","Středočeský"
"RoBiN OIL, s.r.o., Palackého 182, Turnov",35.8,35.3,"Semily","Liberecký"
"Benzina, Červené Vršky, Benešov",36.9,36.5,"Benešov","Středočeský"
"Max oil, Bystřička",36.1,35.8,"Vsetín","Zlínský"
"Limitoo, Hranická 783, Valašské Meziříčí",36.6,35.9,"Vsetín","Zlínský"
"Shell Czech Republic, a.s., Masarykova 35, Valašsk",37.5,37.5,"Vsetín","Zlínský"
"Milan Bayer, Ouvalova 554, Slaný",34.2,33.2,"Kladno","Středočeský"
"Benzina, Hřbitovní, Valašské Meziříčí",37.5,37.5,"Vsetín","Zlínský"
"PapOil, Pražská 642/59, Slaný",35.4,34.2,"Kladno","Středočeský"
"PapOil, Ouvalova 460, Slaný",35.4,34.2,"Kladno","Středočeský"
"Tesco Stores ČR, a.s., Masarykova 873, Valašské Me",36.9,35.9,"Vsetín","Zlínský"
"Adosa, Zastávecká 1030, Rosice",35.9,35.2,"Brno-venkov","Jihomoravský"
"Benzina Plus, Dukelská třída 979, Nový Bydžov",35.5,35.9,"Hradec Králové","Královéhradecký"
"B.R.G., Chvalovická 1041, Pečky",34.9,34.8,"Kolín","Středočeský"
"ALITRON CZ, s.ro., Luhačovická 655, Bojkovice",35.9,35.2,"Uherské Hradiště","Zlínský"
"Blok, Nádražní 953, Bojkovice",36.9,36.2,"Uherské Hradiště","Zlínský"
"ČSAD, Šumická 1725, Uherské Hradiště",36.5,36.2,"Uherské Hradiště","Zlínský"
"Pento, Na Zkratce 677, Velké Opatovice",35.9,35.9,"Blansko","Jihomoravský"
"Agrochem, Nádražní 964, Lanškroun",37.4,36.1,"Ústí nad Orlicí","Pardubický"
"Atac Oil, Červená Voda 539",34.9,34.9,"Ústí nad Orlicí","Pardubický"
"Benzina, třída T. G. Masaryka, Česká Skalice",36.2,35.2,"Náchod","Královéhradecký"
"OMV, silnice 25, Boží Dar",35.9,35.1,"Karlovy Vary","Karlovarský"
"Benzina, Poličská 1544, Hlinsko",36.6,36.9,"Chrudim","Pardubický"
"OMV, Poličská 1365, Hlinsko",36.6,36.9,"Chrudim","Pardubický"
"Benzina Plus, Benešova 1073, Kolín",36.9,36.7,"Kolín","Středočeský"
"Benzina Plus, Moravská 998, Králíky",34.9,34.8,"Ústí nad Orlicí","Pardubický"
"Agro Choceň, Pernerova 22, Choceň",34.5,34.5,"Ústí nad Orlicí","Pardubický"
"Merkur K, Losiná 291",35.2,34.5,"Plzeň-jih","Plzeňský"
"Benzina, Nepomucká, Plzeň-Černice",36.8,36.5,"Plzeň-město","Plzeňský"
"LukOil, dálnice D8, směr Ústí nad Labem, Zdiby",34.8,33.8,"Praha-východ","Středočeský"
"Agip, dálnice D8, směr Ústí nad Labem, Klíčany",34.9,34.9,"Praha-východ","Středočeský"
"Benzina Plus, dálnice D11, směr Praha, Osice",36.9,35.5,"Hradec Králové","Královéhradecký"
"OMV, dálnice D11, směr Praha, Vrbová Lhota",36.9,35.5,"Nymburk","Středočeský"
"OMV, dálnice D8, směr Teplice, Siřejovice",35.9,35.7,"Litoměřice","-stecký"
"Agip, dálnice D11, směr Praha, Bříství",39.7,38.9,"Nymburk","Středočeský"
"Shell Czech Republic, a.s., dálnice D11, směr Prah",38.2,38.9,"Hlavní město Praha","Hlavní město Praha"
"A+S, Budějovická 982, Jemnice",34.9,33.9,"Třebíč","Vysočina"
"PapOil, 1. máje 314, Habartov",35.2,34.5,"Sokolov","Karlovarský"
"Shell Czech Republic, a.s., Opustěná, Brno-Trnitá",37.4,37.2,"Brno-město","Jihomoravský"
"RoBiN OIL, s.r.o., Družstevní 925, Skuteč",35.8,35.3,"Chrudim","Pardubický"
"Pavel Semerád, Kamenice 1a, Brno-Bohunice",35.9,34.9,"Brno-město","Jihomoravský"
"Shell Czech Republic, a.s., Jihlavská, do centra,",37.4,37.2,"Brno-město","Jihomoravský"
"Shell Czech Republic, a.s., Jihlavská, z centra, B",37.4,37.2,"Brno-město","Jihomoravský"
"Agip, Bítešská 1, Brno-Nový Lískovec",37.4,37.2,"Brno-město","Jihomoravský"
"Bílý a syn, Kamenice 1, Brno-Bohunice",35.9,34.9,"Brno-město","Jihomoravský"
"Benzina, Budějovická, Vodňany",35.9,34.7,"Strakonice","Jihočeský"
"Agip, Bauerova, Brno-střed",37.4,37.2,"Brno-město","Jihomoravský"
"OMV, dálnice D11, směr Hradec Králové, Vrbová Lhot",36.9,35.5,"Nymburk","Středočeský"
"Agip, Dálnice D11, směr Hradec Králové, Bříství",37.7,38.9,"Nymburk","Středočeský"
"Benzina Plus, Pražská 5369, Chomutov",34.9,34.2,"Chomutov","-stecký"
"Benzina Plus, dálnice D11, směr Hradec Králové, Pr",37.7,38.9,"Hlavní město Praha","Hlavní město Praha"
"Fraba Diesel, Chomutovská, Jirkov",36.1,35.1,"Chomutov","-stecký"
"Benzina, Dvořákova 1777, Jirkov",36.2,35.2,"Chomutov","-stecký"
"LukOil, dálnice D8, směr Praha, Zdiby",33.3,32.3,"Praha-východ","Středočeský"
"LukOil, Lipská, Chomutov",34.7,34,"Chomutov","-stecký"
"OMV, dálnice D8, směr Praha, Klíčany",35.9,35.7,"Praha-východ","Středočeský"
"OMV, Černovická 4690, Chomutov",36.5,35.9,"Chomutov","-stecký"
"RoBiN OIL, s.r.o., Písečná, Chomutov",34.8,33.8,"Chomutov","-stecký"
"OMV, V Alejích 5381, Chomutov",36.5,33.9,"Chomutov","-stecký"
"Benzina Plus, dálnice D8, směr Praha, Siřejovice",35.5,35.2,"Litoměřice","-stecký"
"Shell Czech Republic, a.s., Březenecká 5366, Chomu",36.5,35.9,"Chomutov","-stecký"
"Tank ONO, s.r.o., silnice 7, Přečaply",32.9,32.9,"Chomutov","-stecký"
"Shell Czech Republic, a.s., Vinná zahrada 1/13, Ch",36.5,35.9,"Chomutov","-stecký"
"Shell Czech Republic, a.s., Klášterecká 1688, Kada",36.9,36.2,"Chomutov","-stecký"
"Trako, Hrádecká 160, Slavičín-Hrádek na Vlárské dr",35.6,35.9,"Zlín","Zlínský"
"Benzina, Jáchymovská, Ostrov",35.9,35.5,"Karlovy Vary","Karlovarský"
"Medos, Ostrov-Dolní Žďár 73",35.5,35.5,"Karlovy Vary","Karlovarský"
"Kontakt, Řídicího učitele Škody 1370, Český Dub",36.1,35.9,"Liberec","Liberecký"
"EuroOil, silnice 12, Břežany 52",34.9,34.2,"Kolín","Středočeský"
"EuroOil, Cerekvice nad Bystřicí 72",34.9,34.2,"Hradec Králové","Královéhradecký"
"EuroOil, Pražská 174, Jindřichův Hradec",34.4,34.2,"Jindřichův Hradec","Jihočeský"
"EuroOil, silnice 446, Libina 825",34.5,34.2,"Šumperk","Olomoucký"
"EuroOil, Plzeňská 492, Ostrava",34.5,34.2,"Ostrava-město","Moravskoslezský"
"EuroOil, Hněvice 65",34.8,34.2,"Litoměřice","-stecký"
"EuroOil, Husova, Vysoké Mýto",34.7,34.2,"Ústí nad Orlicí","Pardubický"
"EuroOil, Kraslická 455, Sokolov",34.9,34.3,"Sokolov","Karlovarský"
"EuroOil, silnice 145, Zdíkovec 59",35.4,34.3,"Prachatice","Jihočeský"
"EuroOil, Jesenická 2c, Šumperk",34.9,34.4,"Šumperk","Olomoucký"
"EuroOil, Blatenská 298, Bělčice",34.9,34.5,"Strakonice","Jihočeský"
"EuroOil, Bítov 82",35.5,34.5,"Znojmo","Jihomoravský"
"EuroOil, 5. května 574, Borohrádek",34.9,34.5,"Rychnov nad Kněžnou","Královéhradecký"
"EuroOil, Rýmařovská 488, Břidličná",35.2,34.5,"Bruntál","Moravskoslezský"
"EuroOil, silnice 229, Čistá 303",35.7,34.5,"Rakovník","Středočeský"
"EuroOil, Pražská, Cheb-Dřenice 13",35.4,34.5,"Cheb","Karlovarský"
"EuroOil, Třeboňská 207, Chlum u Třeboně",35.5,34.5,"Jindřichův Hradec","Jihočeský"
"EuroOil, Litomyšlská 8, Choceň",34.7,34.5,"Ústí nad Orlicí","Pardubický"
"EuroOil, silnice 380, Klobouky u Brna 860",34.9,34.5,"Břeclav","Jihomoravský"
"EuroOil, silnice 187, Kolinec 298",35.2,34.5,"Klatovy","Plzeňský"
"EuroOil, Harantova 258, Lázně Bělohrad",35.2,34.5,"Jičín","Královéhradecký"
"EuroOil, třída 5.května, Lišov",35.2,34.5,"České Budějovice","Jihočeský"
"EuroOil, Moravská 958, Litomyšl",35.5,34.5,"Svitavy","Pardubický"
"EuroOil, silnice 201, Manětín 318",35.7,34.5,"Plzeň-sever","Plzeňský"
"EuroOil, Komenského 384, Peruc",35.2,34.5,"Louny","-stecký"
"EuroOil, silnice 58, směr Ostrava, Petřvald 452",34.5,34.5,"Nový Jičín","Moravskoslezský"
"EuroOil, silnice 58, směr Příbor, Petřvald 453",34.5,34.5,"Nový Jičín","Moravskoslezský"
"EuroOil, Fučíkova 745, Raspenava",35.2,34.5,"Liberec","Liberecký"
"EuroOil, Palackého 431, Sedlice u Blatné",34.9,34.5,"Strakonice","Jihočeský"
"EuroOil, Palackého 128, Smiřice",35.2,34.5,"Hradec Králové","Královéhradecký"
"EuroOil, Skalická 1423, Strážnice",34.9,34.5,"Hodonín","Jihomoravský"
"EuroOil, Brněnská 23, Střelice",35.5,34.5,"Brno-venkov","Jihomoravský"
"EuroOil, Třebíz 115",35.2,34.5,"Kladno","Středočeský"
"EuroOil, V.Opatrného 985, Týniště nad Orlicí",34.5,34.5,"Rychnov nad Kněžnou","Královéhradecký"
"EuroOil, Plzeňská 3150, Varnsdorf",34.9,34.5,"Děčín","-stecký"
