"stanice","natural","diesel","okres","kraj"
"KM-Prona, Litoměřická 76, Česká Lípa",35.5,34.9,"Česká Lípa","Liberecký"
"PapOil, Lipová 566, Nový Bor",35.5,34.9,"Česká Lípa","Liberecký"
"LukOil, Třebovská, Mohelnice",35.9,34.8,"Šumperk","Olomoucký"
"Shell Czech Republic, a.s., Husova, Vysoké Mýto",35.9,35.9,"Ústí nad Orlicí","Pardubický"
"Benzina, Husova, Vysoké Mýto",33.4,33.4,"Ústí nad Orlicí","Pardubický"
"OMV, B. Egermanna 1003, Nový Bor",36.5,35.8,"Česká Lípa","Liberecký"
"Eurobit  Olbrachtova, Chrudim",33.3,32.9,"Chrudim","Pardubický"
"RoBiN OIL, s.r.o., silnice 27, Běšiny u Klatov",34.9,34.5,"Klatovy","Plzeňský"
"OMV, Obce Ležáků 828, Chrudim",37.2,36.2,"Chrudim","Pardubický"
"KM-Prona, Okrouhlá 190",35.5,34.8,"Česká Lípa","Liberecký"
"Eurobit, Obce Ležáků 828, Chrudim",33.3,32.9,"Chrudim","Pardubický"
"Agip, V korytech, Praha 10-Strašnice",36.9,36.9,"Hlavní město Praha","Hlavní město Praha"
"Šátka a Simajchl, Unhošťská, Praha 6-Ruzyně",34.4,33.9,"Hlavní město Praha","Hlavní město Praha"
"PapOil, Bílinská 3140, Teplice",35.9,35.7,"Teplice","-stecký"
"Robin Oil,Vojtanov 105, Vojtanov",35.8,34.3,"Cheb","Karlovarský"
"KM-Prona, Liberecká 1, Česká Lípa",35.5,34.9,"Česká Lípa","Liberecký"
"ČS, Mimoňská, Zákupy",35.9,35.4,"Česká Lípa","Liberecký"
"Tempex, Vazová 2366, Uherský Brod",36.7,36.6,"Uherské Hradiště","Zlínský"
"Pasoil, Nádražní 189, Žandov",36.5,33.5,"Česká Lípa","Liberecký"
"KM-Prona, Máchova 359, Stráž pod Rálskem",35.9,34.9,"Česká Lípa","Liberecký"
"Benzina, Žitavská, Mimoň",36.5,35.4,"Česká Lípa","Liberecký"
"PapOil, silnice E49, Vojtanov",35.9,35.5,"Cheb","Karlovarský"
"Armex Oil, silnice E49, Vojtanov",36.5,35.9,"Cheb","Karlovarský"
"Tesco Stores ČR, a.s., Veselská 663, Praha 9-Letňa",34.5,33.5,"Hlavní město Praha","Hlavní město Praha"
"Miloš Kvaček, Pražská 410, Habry",36.9,36.2,"Havlíčkův Brod","Vysočina"
"OMV, U Korečnice, Uherský Brod",36.9,36.8,"Uherské Hradiště","Zlínský"
"Benzina, Lipová 842, silnice E442, Nový Bor",35.5,34.9,"Česká Lípa","Liberecký"
"Shell Czech Republic, a.s., Žitavská, Česká Lípa",35.9,35.9,"Česká Lípa","Liberecký"
"Pasoil",35.9,35.9,"Litoměřice","-stecký"
"Benzina Plus, Těšínská, Plzeň",35.9,35.2,"Plzeň-město","Plzeňský"
"Benzina, Borská 3289, Česká Lípa",35.5,34.9,"Česká Lípa","Liberecký"
"RoBiN OIL, s.r.o., silnice R10, směr Praha, Hlaven",35.9,34.9,"Mladá Boleslav","Středočeský"
"Agip, silnice R10, směr Praha, Brodce",37.7,37.2,"Mladá Boleslav","Středočeský"
"Agip, silnice R10, směr Mladá Boleslav, Brodce",37.7,37.2,"Mladá Boleslav","Středočeský"
"Benzina, dálnice D3, směr Tábor, Mezno",36.5,37.8,"Benešov","Středočeský"
"Benzina, dálnice D3, směr Praha, Mezno",37.5,38.2,"Benešov","Středočeský"
"Framex, Smetanova 362, Hrochův Týnec",34.9,34.5,"Chrudim","Pardubický"
"OMV, Tyršova, Katovice",34.9,34.5,"Strakonice","Jihočeský"
"PapOil, silnice 9, Sosnová",34.5,34.5,"Česká Lípa","Liberecký"
"Swiss Tank, Plzeňská, Bezdružice",36.9,36.9,"Tachov","Plzeňský"
"Milan Schwarz, Krnovská 7, Město Albrechtice",35.5,34.9,"Bruntál","Moravskoslezský"
"Benzina, silnice R4, směr Příbram, Skalka",35.7,35.7,"Příbram","Středočeský"
"Agip, silnice R4, směr Praha, Obořiště",35.9,35.9,"Příbram","Středočeský"
"Marie Čapková, Tábor-Všechov 15",35.3,35,"Tábor","Jihočeský"
"Shell Czech Republic, a.s., Teplého, Pardubice",35.9,35.9,"Pardubice","Pardubický"
"Gulf, Osvobození 18, Město Albrechtice",35.3,34.6,"Bruntál","Moravskoslezský"
"Benzina, Čs. Armády 5, Krnov",35.8,35.2,"Bruntál","Moravskoslezský"
"Agip, Štěrboholská spojka, z centra, za Europarkem",37.9,37.9,"Hlavní město Praha","Hlavní město Praha"
"Agip, Štěrboholská spojka, do centra, Praha 10-Ště",37.9,37.9,"Hlavní město Praha","Hlavní město Praha"
"Agip, Štěrboholská spojka, z centra, Praha 10-Štěr",37.9,37.9,"Hlavní město Praha","Hlavní město Praha"
"Bruto a.s., Bartoškova 1160, Praha 10-Vršovice",33.9,33.9,"Hlavní město Praha","Hlavní město Praha"
"Benzina, Žižkova 705, Příbram",35.9,36.2,"Příbram","Středočeský"
"Armex Oil, silnice 38, Jestřebí",35.9,35.2,"Česká Lípa","Liberecký"
"Benzina, Albrechtická, Krnov",35.8,35.2,"Bruntál","Moravskoslezský"
"Benzina Plus, Jižní spojka, směr Spořilov, Praha 1",37.9,37.9,"Hlavní město Praha","Hlavní město Praha"
"OMV, Štěrboholská radiála, do centra, Praha 10-Hos",37.9,37.9,"Hlavní město Praha","Hlavní město Praha"
"Benzina, Hrbovická, Ústí nad Labem",34.9,33.9,"Ústí nad Labem","-stecký"
"Pasoil, Husova 697, Přibyslav",37.1,36.9,"Havlíčkův Brod","Vysočina"
"Acter Tank, Zámecká, Doksy",34.9,34.1,"Česká Lípa","Liberecký"
"Agip, silnice 9, Dubá",35.2,35.9,"Česká Lípa","Liberecký"
"Benzina, Na Bažantnici, Bzenec",36.2,35.2,"Hodonín","Jihomoravský"
"Benzina Plus, Valdštejnská, Doksy",35.9,35.2,"Česká Lípa","Liberecký"
"Benzina, Borská 128, Přimda",36.4,34.6,"Tachov","Plzeňský"
"Tesco Stores ČR, a.s., Sjízdná 2a, Ostrava-Třebovi",35.8,35.2,"Ostrava-město","Moravskoslezský"
"Tank ONO, s.r.o., Cvikov",32.9,32.9,"Česká Lípa","Liberecký"
"Globus, Opavská 90, Ostrava-Plesná",35.5,34.5,"Ostrava-město","Moravskoslezský"
"KM-Prona, Míru 692, Kardašova Řečice",34.9,34.5,"Jindřichův Hradec","Jihočeský"
"Shell Czech Republic, a.s., Opavská 201, Ostrava-S",37.4,36.9,"Ostrava-město","Moravskoslezský"
"Albert ČS, Šluknovská 3070, Česká Lípa",34.5,33.9,"Česká Lípa","Liberecký"
"Avanti, Borská 4, Česká Lípa",35.5,34.9,"Česká Lípa","Liberecký"
"ETK, Rychnovská 44, Hodkovice nad Mohelkou",36.4,36.9,"Liberec","Liberecký"
"ERNEKS/oil TEAM, Č.p. 21, Polička-Lezník",35.9,34.9,"Svitavy","Pardubický"
"ALITRON CZ, s.r.o., Zlín-Salaš 86",35.9,34.9,"Zlín","Zlínský"
"ALITRON CZ, s.r.o., Držková, Zlín",35.5,34.9,"Zlín","Zlínský"
"ALITRON CZ, s.r.o., Paseky 615, Želechovice nad Dř",36.2,35.2,"Zlín","Zlínský"
"PapOil, Tovární, Horní Bříza",35.6,35.5,"Plzeň-sever","Plzeňský"
"Slovnaft, silnice 49, Zádveřice",32.9,32.9,"Zlín","Zlínský"
"ALITRON CZ, s.r.o., Neubuz 156",35.7,35,"Zlín","Zlínský"
"PH-Mobil, silnice 497, Bohuslavice u Zlína",37.2,36.4,"Zlín","Zlínský"
"PapOil, silnice 34, Borová",32.9,32.9,"Svitavy","Pardubický"
"Albert ČS, U Tří mostů 844/2, Svitavy",35.2,34.9,"Svitavy","Pardubický"
"Častulík, Vysoké Pole",36.4,35.7,"Zlín","Zlínský"
"Benzina Plus, U Tří mostů, Svitavy",36.2,35.9,"Svitavy","Pardubický"
"Shell Czech Republic, a.s., Starohradská 316, Poli",36.9,35.9,"Svitavy","Pardubický"
"EUROBIT, silnice 236, Slaný",33.3,32.9,"Kladno","Středočeský"
"Agip, Cínovec 293",38.7,36.7,"Teplice","-stecký"
"Benzina, Starohradská, Polička",36.4,35.5,"Svitavy","Pardubický"
"Gulf, Hlavní 139, Svitavy-Lačnov",35.9,35.5,"Svitavy","Pardubický"
"KM-Prona, Pražská 180, Tursko",36.3,35.5,"Praha-západ","Středočeský"
"Shell Czech Republic, a.s., silnice R7, směr Chomu",36.99,35.99,"Kladno","Středočeský"
"PapOil, dálnice D1, směr Praha, Průhonice",35.9,36.5,"Praha-východ","Středočeský"
"Benzina Plus, dálnice D1, směr Praha, Újezd u Průh",37.2,36.9,"Hlavní město Praha","Hlavní město Praha"
"Benzina Plus, Jižní spojka, směr Černý most, Praha",37.9,37.9,"Hlavní město Praha","Hlavní město Praha"
"OMV, Štěrboholská radiála, směr Černý most, Praha",37.9,37.9,"Hlavní město Praha","Hlavní město Praha"
"Shell Czech Republic, a.s., Jižní spojka 9, směr H",37.9,37.9,"Hlavní město Praha","Hlavní město Praha"
"Benzina Plus, dálnice D1, směr Praha, Střechov",38.9,38.9,"Benešov","Středočeský"
"Benzina Plus, dálnice D1, směr Praha, Velká Bíteš",38.9,38.9,"Brno-venkov","Jihomoravský"
"OMV, dálnice D1, odpočívka Naháč, směr Praha, Choc",38.9,38.9,"Benešov","Středočeský"
"Shell Czech Republic, a.s., dálnice D1, směr Praha",38.7,38.9,"Praha-východ","Středočeský"
"Agip, dálnice D1, směr Praha, Herálec-Mikulášov",39.9,39.9,"Havlíčkův Brod","Vysočina"
"OMV, dálnice D1, směr Praha, Brno-Starý Lískovec",39.9,39.9,"Brno-město","Jihomoravský"
"OMV, dálnice D1, směr Praha, Brno-Troubsko",39.9,39.9,"Brno-venkov","Jihomoravský"
"OMV, dálnice D1, směr Praha, Pávov",39.9,39.9,"Jihlava","Vysočina"
"Shell Czech Republic, a.s., dálnice D1, směr Praha",39.9,39.9,"Pelhřimov","Vysočina"
"Shell Czech Republic, a.s., dálnice D1, směr Praha",39.9,39.9,"Brno-venkov","Jihomoravský"
"Shell Czech Republic, a.s., dálnice D1, směr Praha",39.9,39.9,"Benešov","Středočeský"
"Shell Czech Republic, a.s., dálnice D1, směr Praha",39.9,39.9,"Žďár nad Sázavou","Vysočina"
"Tank ONO, s.r.o., Kojetice-Tůmovka",33.9,32.9,"Praha-východ","Středočeský"
"Unicorn, silnice E59, Moravské Budějovice-Lažínky",34.9,34.3,"Třebíč","Vysočina"
"Calibra Plus, Papratná 159, Frenštát pod Radhoštěm",32.9,32.9,"Nový Jičín","Moravskoslezský"
"LukOil, dálnice D5, směr Praha, Kralův Dvůr",36.3,35.3,"Beroun","Středočeský"
"Benzina Plus, dálnice D5, směr Praha, Rudná",38.2,37.9,"Praha-západ","Středočeský"
"OMV, Dálnice D5, směr Praha, Beroun",38.2,38.2,"Beroun","Středočeský"
"Agip, dálnice D5, směr Praha, Záluží",41.7,39.7,"Beroun","Středočeský"
"Shell Czech Republic, a.s., dálnice D5, směr Praha",39.9,39.9,"Rokycany","Plzeňský"
"Benzina Plus, Teplého, Pardubice",35.2,34.2,"Pardubice","Pardubický"
"CTJ, Husova 723, Mnichovice",35.9,35.9,"Praha-východ","Středočeský"
"Slovnaft, silnice 58, Frenštát pod Radhoštěm",36.8,35.9,"Nový Jičín","Moravskoslezský"
"Medos, Vinohradská, Praha 3-Vinohrady",35.9,35.5,"Hlavní město Praha","Hlavní město Praha"
"RoBiN OIL, s.r.o., Opletalova, Ústí nad Labem",34.8,34.8,"Ústí nad Labem","-stecký"
"PapOil, Opletalova 572, Ústí nad Labem",34.8,34.8,"Ústí nad Labem","-stecký"
"PapOil, Palackého, Český Brod",36.6,35.5,"Kolín","Středočeský"
"OMV, silnice E55, směr Praha, Pětihosty",37.4,37.4,"Praha-východ","Středočeský"
"OMV, silnice E55, směr Benešov, Pětihosty",37.4,37.4,"Praha-východ","Středočeský"
"TomeGas, Táborská 260/5, Milevsko",34.7,34.5,"Písek","Jihočeský"
"Armex Oil, silnice 161, Studánky",35.9,34.9,"Leský Krumlov","Jihočeský"
"Benzina, Královopolská, Brno-Žabovřesky",37.4,37.2,"Brno-město","Jihomoravský"
"Konsekvence Ulrych, silnice 285, Rychnovek",35.9,34.9,"Náchod","Královéhradecký"
"PapOil, Masarykova, Ústí nad Labem",35.9,34.9,"Ústí nad Labem","-stecký"
"Tank ONO, s.r.o., Božtěšická, Ústí nad Labem",32.9,32.9,"Ústí nad Labem","-stecký"
"Shell Czech Republic, a.s., silnice 248, Petrovice",36.2,36.2,"Ústí nad Labem","-stecký"
"OMV, silnice 248, Petrovice 575",36.2,36.2,"Ústí nad Labem","-stecký"
"OMV, Petrovice 575B,",36.2,36.2,"Ústí nad Labem","-stecký"
"Agip, dálnice D8, směr Německo, Varvažov",36.5,36.5,"Ústí nad Labem","-stecký"
