,OBJECTID,ID,Y,X,NAZEV,AKTUALIZACE,CENA,JMENO
1931,1932,6968,49.745994,12.841272,"Shell Czech Republic, a.s., d·lnice D5, smÏr PlzeÚ",04.11.2014 10:30,39.9,Shell Czech Republic
1204,1205,7031,50.34799,14.49213,"Shell Czech Republic, a.s., Mladoboleslavsk· 3561,",04.11.2014 15:59,39.9,Shell Czech Republic
174,175,7091,49.75345,13.58861,"Shell Czech Republic, a.s., d·lnice D5, smÏr Praha",05.11.2014 09:38,39.9,Shell Czech Republic
2106,2107,6976,48.81007,16.89232,"Shell Czech Republic, a.s., d·lnice D2, smÏr Brati",01.11.2014 10:48,39.9,Shell Czech Republic
2105,2106,7104,49.75787,13.61744,"Shell Czech Republic, a.s., d·lnice D5, smÏr PlzeÚ",03.11.2014 04:12,39.9,Shell Czech Republic
1203,1204,7023,50.24009,14.29384,"Shell Czech Republic, a.s., P¯emyslova 537, Kralup",04.11.2014 15:59,39.9,Shell Czech Republic
2104,2105,6977,48.81004,16.89406,"Shell Czech Republic, a.s., d·lnice D2, smÏr Brno,",03.11.2014 12:34,39.9,Shell Czech Republic
2102,2103,5338,49.010173,16.687823,"Agip, d·lnice D2, smÏr Brno, VelkÈ NÏmËice",03.11.2014 12:34,39.9,Agip
2103,2104,6493,49.153211,16.629392,"OMV, d·lnice D2, smÏr B¯eclav, Brno-DolnÌ Heröpice",03.11.2014 12:34,39.9,OMV
415,416,5342,49.85498,13.87171,"Agip, d·lnice D5, smÏr PlzeÚ, Z·luûÌ",05.11.2014 08:13,39.7,Agip
173,174,5343,49.852375,13.867345,"Agip, d·lnice D5, smÏr Praha, Z·luûÌ",05.11.2014 09:38,39.7,Agip
1171,1172,5776,50.25027,14.32027,"Benzina Plus, MostnÌ, Kralupy nad Vltavou",04.11.2014 16:13,39.5,Benzina Plus
1298,1299,7033,48.805803,16.625621,"Shell Czech Republic, a.s., K v·pence 609, smÏr NÏ",04.11.2014 15:27,38.9,Shell Czech Republic
841,842,6616,50.03389,14.44028,"OMV, JiûnÌ spojka 42, smÏr Barrandov, Praha 4-KrË",04.11.2014 17:52,38.9,OMV
838,839,7077,50.038928,14.466848,"Shell Czech Republic, a.s., JiûnÌ spojka, smÏr Bra",04.11.2014 17:53,38.9,Shell Czech Republic
1928,1929,5717,49.70317,12.98709,"Benzina Plus, d·lnice D5, smÏr Rozvadov, Kladruby",04.11.2014 10:30,38.9,Benzina Plus
1104,1105,6638,49.446942,17.114811,"OMV, silnice R46, smÏr Vyökov, ProstÏjov-éeöov",04.11.2014 16:26,38.9,OMV
1557,1558,6617,50.0335,14.44118,"OMV, JiûnÌ spojka, smÏr Hostiva¯, Praha 4-KrË",04.11.2014 13:59,38.9,OMV
539,540,7672,50.1324567456,14.8614066839,"Agip, D·lnice D11, smÏr Hradec Kr·lovÈ, B¯ÌstvÌ",05.11.2014 05:34,38.9,Agip
1291,1292,7034,48.806786,16.627389,"Shell Czech Republic, a.s., K v·pence 609, Mikulov",04.11.2014 15:28,38.9,Shell Czech Republic
1707,1708,5769,50.100036,14.442644,"Benzina Plus, Argentinsk·, do centra, Praha 7-Hole",04.11.2014 12:48,38.9,Benzina Plus
918,919,6266,49.583421,17.412459,"Karl Oil, P¯·slavice-Kocourovec 2",04.11.2014 17:20,38.9,Karl Oil
1840,1841,7089,49.318422,17.038451,"Shell Czech Republic, a.s., silnice R46, smÏr Vyök",04.11.2014 11:34,38.9,Shell Czech Republic
1333,1334,5285,48.79833,16.6325,"Agip, 28. ¯Ìjna, Mikulov",04.11.2014 15:23,38.9,Agip
155,156,5727,49.753189,15.022434,"Benzina Plus, d·lnice D1, smÏr Praha, St¯echov",05.11.2014 09:42,38.9,Benzina Plus
541,542,5775,50.10814,14.63821,"Benzina Plus, d·lnice D11, smÏr Hradec Kr·lovÈ, Pr",05.11.2014 05:33,38.9,Benzina Plus
1558,1559,7084,50.03455,14.45525,"Shell Czech Republic, a.s., U KrËskÈho n·draûÌ 222",04.11.2014 13:59,38.9,Shell Czech Republic
939,940,6584,49.553343,17.22913,"OMV, silnice R35, odpoËÌvka Nemilany, Nemilany",04.11.2014 17:17,38.9,OMV
156,157,5737,49.27053,16.27949,"Benzina Plus, d·lnice D1, smÏr Praha, Velk· BÌteö",05.11.2014 09:42,38.9,Benzina Plus
157,158,6535,49.861327,14.790958,"OMV, d·lnice D1, odpoËÌvka Nah·Ë, smÏr Praha, Choc",05.11.2014 09:42,38.9,OMV
751,752,6502,49.162673,16.660826,"OMV, d·lnice D1, smÏr Vyökov, Brno-Tu¯any",05.11.2014 04:54,38.9,OMV
752,753,6970,49.631812,17.842033,"Shell Czech Republic, a.s., D·lnice D1, smÏr Ostra",05.11.2014 02:21,38.9,Shell Czech Republic
755,756,6971,49.628017,17.833922,"Shell Czech Republic, a.s., D·lnice D1, smÏr Olomo",05.11.2014 02:20,38.9,Shell Czech Republic
756,757,6990,49.58039,17.46102,"Shell Czech Republic, a.s., Daskab·t",04.11.2014 21:48,38.9,Shell Czech Republic
1976,1977,5196,50.111864,14.445759,"OMV, Argentinsk· 166/42, Praha 7-Holeöovice",04.11.2014 09:54,38.9,OMV
2101,2102,5732,48.906491,16.783413,"Benzina Plus, D2, smÏr B¯eclav, StaroviËky",03.11.2014 12:34,38.9,Benzina Plus
759,760,6954,49.905305,18.307831,"Shell Czech Republic, a.s., D·lnice D1, smÏr Bohum",04.11.2014 20:15,38.9,Shell Czech Republic
760,761,6955,49.901225,18.306519,"Shell Czech Republic, a.s., D·lnice D1, smÏr Ostra",04.11.2014 20:15,38.9,Shell Czech Republic
457,458,6615,50.0145,14.4251,"OMV, Lhoteck· 2a, Praha 4-Kam˝k",05.11.2014 07:42,38.9,OMV
1393,1394,6614,50.0404,14.4678,"OMV, 5. kvÏtna, z centra, Praha 4-KaËerov",04.11.2014 14:56,38.9,OMV
525,526,5240,50.132222,14.864444,"Agip, d·lnice D11, smÏr Praha, B¯ÌstvÌ",05.11.2014 06:02,38.9,Agip
526,527,7075,50.10955,14.63966,"Shell Czech Republic, a.s., d·lnice D11, smÏr Prah",05.11.2014 06:02,38.9,Shell Czech Republic
28,29,5726,49.753055,15.01863,"Benzina Plus, d·lnice D1, smÏr Brno, St¯echov",05.11.2014 10:24,38.9,Benzina Plus
29,30,5736,49.269736,16.277544,"Benzina Plus, d·lnice D1, smÏr Brno, Velk· BÌteö",05.11.2014 10:24,38.9,Benzina Plus
30,31,6378,49.35828,16.01933,"LukOil, d·lnice D1, smÏr Brno, VelkÈ Mezi¯ÌËÌ",05.11.2014 10:24,38.9,LukOil
31,32,7032,49.377867,15.945884,"Shell Czech Republic, a.s., d·lnice D1, smÏr Brno,",05.11.2014 10:24,38.9,Shell Czech Republic
844,845,6613,50.04014,14.51148,"OMV, K Hork·m 2, Praha 4-H·je",04.11.2014 17:51,38.9,OMV
158,159,7043,49.984052,14.603142,"Shell Czech Republic, a.s., d·lnice D1, smÏr Praha",05.11.2014 09:42,38.9,Shell Czech Republic
842,843,6618,50.02455,14.44159,"OMV, Z·lesÌ 100, Praha 4-Lhotka",04.11.2014 17:52,38.9,OMV
286,287,5311,50.00387,14.48095,"Agip, VÌdeÚsk·, Praha 4-KrË",05.11.2014 08:55,38.7,Agip
836,837,5891,50.02139,14.40417,"»SAD HodonÌn, Mod¯ansk· 80, Praha 4-Mod¯any",04.11.2014 17:54,38.7,»SAD HodonÌn
282,283,5700,49.998696,14.486485,"Benzina Plus, Kunratick· spojka 1169, Praha 4-Kunr",05.11.2014 08:56,38.7,Benzina Plus
1392,1393,6622,50.05106,14.44649,"OMV, 5. kvÏtna, do centra, Praha 4-Pankr·c",04.11.2014 14:56,38.7,OMV
849,850,5314,50.0438,14.41171,"Agip, Mod¯ansk·, Praha 4-PodolÌ",04.11.2014 17:50,38.7,Agip
1788,1789,6620,50.0166,14.4028,"OMV, »eskoslovenskÈho exilu 1912/2, Praha 4-Mod¯an",04.11.2014 11:59,38.7,OMV
1815,1816,5429,50.07722,14.53889,"Avanti, Pr˘myslov· 614/30, Praha 10-Maleöice",04.11.2014 11:40,38.6,Avanti
1201,1202,5190,50.0938,14.4421,"OMV, RohanskÈ n·b¯eûÌ 172/2, Praha 8-KarlÌn",04.11.2014 15:59,38.6,OMV
1804,1805,7081,50.080347,14.537517,"Shell Czech Republic, a.s., Pr˘myslov· 42, Praha 1",04.11.2014 11:41,38.6,Shell Czech Republic
1276,1277,5317,50.09291,14.31073,"Agip, Evropsk·, Praha 6-DÏdina",04.11.2014 15:37,38.5,Agip
1017,1018,5324,50.087349,14.536443,"Agip, Pr˘myslov· 5, Praha 9-Maleöice",04.11.2014 16:54,38.5,Agip
1776,1777,7071,50.112143,14.282244,"Shell Czech Republic, a.s., Aviatick·, Praha 6-Ruz",04.11.2014 12:08,38.5,Shell Czech Republic
45,46,7072,50.09342,14.33206,"Shell Czech Republic, a.s., Evropsk·, Praha 6-Voko",05.11.2014 10:14,38.5,Shell Czech Republic
1876,1877,6633,50.129148,14.544245,"OMV, Mladoboleslavsk·, Praha 9-Kbely",04.11.2014 11:10,38.3,OMV
947,948,6951,50.057164,14.512161,"Shell Czech Republic, a.s., ävehlova 2078, z centr",04.11.2014 17:15,38.3,Shell Czech Republic
979,980,7080,50.12021,14.50303,"Shell Czech Republic, a.s., Proseck·, Praha 9-Pros",04.11.2014 17:03,38.3,Shell Czech Republic
959,960,6610,50.0533,14.5191,"OMV, ävehlova 1376/34, Praha 10-Hostiva¯",04.11.2014 17:11,38.3,OMV
1342,1343,6635,50.1035,14.5171,"OMV, PodÏbradsk· 29/541, Praha 9-VysoËany",04.11.2014 15:18,38.3,OMV
1938,1939,5309,50.03608,14.492664,"Agip, BrnÏnsk·, do centra, Praha 4-Chodov",04.11.2014 10:27,38.3,Agip
943,944,7083,50.0569,14.51382,"Shell Czech Republic, a.s., ävehlova, do centra, P",04.11.2014 17:16,38.3,Shell Czech Republic
780,781,5318,50.096343,14.348214,"Agip, Evropsk·, Praha 6-VeleslavÌn",04.11.2014 18:58,38.3,Agip
967,968,5307,50.06056,14.50667,"Agip, ävehlova 1454, Praha 10-ZahradnÌ mÏsto",04.11.2014 17:08,38.3,Agip
989,990,7074,50.103685,14.503473,"Shell Czech Republic, a.s., Freyova 4, Praha 9-Vys",04.11.2014 16:59,38.3,Shell Czech Republic
1939,1940,5308,50.03741,14.489354,"Agip, BrnÏnsk·, z centra, Praha 4-Chodov",04.11.2014 10:26,38.3,Agip
1318,1319,7076,50.058308,14.312233,"Shell Czech Republic, a.s., H·jËÌ 2, Praha 5-S",04.11.2014 15:24,38.3,Shell Czech Republic
840,841,7065,50.03449,14.536233,"Shell Czech Republic, a.s., V˝stavnÌ 2/15, Praha 1",04.11.2014 17:52,38.3,Shell Czech Republic
172,173,7686,49.955847,14.062903,"OMV, D·lnice D5, smÏr Praha, Beroun",05.11.2014 09:38,38.2,OMV
95,96,5565,49.53288,14.665667,"Benzina, d·lnice D3, smÏr Praha, Mezno",05.11.2014 09:59,38.2,Benzina
414,415,6482,49.956789,14.062461,"OMV, d·lnice D5, exit smÏr PlzeÚ, Beroun",05.11.2014 08:13,38.2,OMV
152,153,5702,50.058888,14.489518,"Benzina Plus, JiûnÌ spojka, smÏr »ern˝ most, Praha",05.11.2014 09:42,37.9,Benzina Plus
153,154,6609,50.07011,14.53107,"OMV, ätÏrboholsk· radi·la, smÏr »ern˝ most, Praha",05.11.2014 09:42,37.9,OMV
1368,1369,5316,50.06227,14.41049,"Agip, Strakonick· - SmÌchovskÈ n·draûÌ, Praha 5-Sm",04.11.2014 15:05,37.9,Agip
1369,1370,7082,50.05132,14.41096,"Shell Czech Republic, a.s., Strakonick· 2, do cent",04.11.2014 15:04,37.9,Shell Czech Republic
1191,1192,6958,49.331072,15.577692,"Shell Czech Republic, a.s., silnice E59, VÌlanec 4",04.11.2014 16:01,37.9,Shell Czech Republic
115,116,6608,50.07051,14.53015,"OMV, ätÏrboholsk· radi·la, do centra, Praha 10-Hos",05.11.2014 09:54,37.9,OMV
114,115,5708,50.059336,14.485035,"Benzina Plus, JiûnÌ spojka, smÏr Spo¯ilov, Praha 1",05.11.2014 09:54,37.9,Benzina Plus
777,778,6630,50.06639,14.30917,"OMV, Sl·nsk·, Praha 6-ÿepy",04.11.2014 18:59,37.9,OMV
109,110,5304,50.07645,14.5796,"Agip, ätÏrboholsk· spojka, z centra, Praha 10-ätÏr",05.11.2014 09:56,37.9,Agip
108,109,5303,50.07727,14.58064,"Agip, ätÏrboholsk· spojka, do centra, Praha 10-ätÏ",05.11.2014 09:56,37.9,Agip
154,155,7078,50.05884,14.48334,"Shell Czech Republic, a.s., JiûnÌ spojka 9, smÏr H",05.11.2014 09:42,37.9,Shell Czech Republic
107,108,5302,50.07577,14.54846,"Agip, ätÏrboholsk· spojka, z centra, za Europarkem",05.11.2014 09:56,37.9,Agip
1096,1097,5829,49.973043,14.464411,"CV Petrol, Praûsk· 344, DolnÌ B¯eûany",04.11.2014 16:27,37.9,CV Petrol
843,844,6612,50.0329,14.4242,"OMV, JiûnÌ spojka, smÏr Barrandov, Praha 4-BranÌk",04.11.2014 17:51,37.9,OMV
828,829,6494,49.22126,16.5826,"OMV, Hradeck· 40, Brno-Kr·lovo Pole",04.11.2014 18:00,37.9,OMV
413,414,5759,50.03383,14.214684,"Benzina Plus, d·lnice D5, smÏr PlzeÚ, Rudn·",05.11.2014 08:13,37.9,Benzina Plus
1356,1357,7070,50.069425,14.381389,"Shell Czech Republic, a.s., VrchlickÈho, Praha 5-K",04.11.2014 15:09,37.9,Shell Czech Republic
1097,1098,5830,49.9643,14.45397,"CV Petrol, Zbraslavsk· 406, DolnÌ B¯eûany",04.11.2014 16:27,37.9,CV Petrol
171,172,5765,50.03333,14.21611,"Benzina Plus, d·lnice D5, smÏr Praha, Rudn·",05.11.2014 09:38,37.9,Benzina Plus
1317,1318,7137,50.059346,14.316233,"Skanska, H·jËÌ 12, Praha 13-Stod˘lky",04.11.2014 15:24,37.9,Skanska
829,830,6978,49.22657,16.579,"Shell Czech Republic, a.s., Hradeck·, Brno-Kr·lovo",04.11.2014 18:00,37.9,Shell Czech Republic
870,871,5235,49.23618,16.58703,"Agip, PalackÈho t¯Ìda, Brno-Medl·nky",04.11.2014 17:45,37.8,Agip
848,849,5313,50.047976,14.430097,"Agip, K SÌdliöti, Praha 4-Pankr·c",04.11.2014 17:50,37.8,Agip
94,95,5564,49.532604,14.663458,"Benzina, d·lnice D3, smÏr T·bor, Mezno",05.11.2014 09:59,37.8,Benzina
374,375,6513,50.775154,14.213498,"OMV, LitomÏ¯ick· 19, DÏËÌn",05.11.2014 08:30,37.7,OMV
835,836,6625,50.04944,14.35472,"OMV, Radlick· 629/222, Praha 5-Jinonice",04.11.2014 17:55,37.7,OMV
833,834,6629,50.0549,14.3416,"OMV, Bucharova 20/1093, Praha 5-Stod˘lky",04.11.2014 17:56,37.7,OMV
1446,1447,6500,49.18795,16.62293,"OMV, Zvona¯ka 418/20, Brno-Trnit·",04.11.2014 14:42,37.7,OMV
1426,1427,6988,48.966526,14.487973,"Shell Czech Republic, a.s., Novohradsk·, »eskÈ Bud",04.11.2014 14:52,37.7,Shell Czech Republic
372,373,6514,50.785037,14.240548,"OMV, Kamenick· 13, DÏËÌn",05.11.2014 08:31,37.7,OMV
1232,1233,5231,49.190399,16.632088,"Agip, Olomouck·, Brno-»ernovice",04.11.2014 15:52,37.7,Agip
1445,1446,5734,49.165583,16.629619,"Benzina Plus, Kaötanov·, Brno",04.11.2014 14:42,37.7,Benzina Plus
1878,1879,5767,50.07694,14.33527,"Benzina Plus, BÏlohorsk·, Praha 6-BÌl· Hora",04.11.2014 11:08,37.7,Benzina Plus
750,751,6642,49.18455,16.75873,"OMV, d·lnice D1, smÏr Vyökov, Rohlenka",05.11.2014 04:54,37.7,OMV
1241,1242,7097,49.168045,16.714586,"Shell Czech Republic, a.s., BrnÏnsk·, älapanice",04.11.2014 15:48,37.7,Shell Czech Republic
1236,1237,6985,49.189631,16.634265,"Shell Czech Republic, a.s., Olomouck· 38, Brno-»er",04.11.2014 15:51,37.7,Shell Czech Republic
779,780,5768,50.087191,14.349917,"Benzina Plus, Ankarsk·, Praha 6-B¯evnov",04.11.2014 18:58,37.7,Benzina Plus
776,777,6631,50.07564,14.31282,"OMV, Karlovarsk· 47, Praha 6-ÿepy",04.11.2014 18:59,37.7,OMV
408,409,5233,49.23443,16.59138,"Agip, SportovnÌ, Brno-Kr·lovo Pole",05.11.2014 08:15,37.6,Agip
17,18,6632,50.14678,14.4945,"OMV, CÌnoveck·, Praha 8-œ·blice",05.11.2014 10:33,37.6,OMV
1081,1082,6854,49.985124,14.860275,"Polar, U Cihelny 1074, Kostelec nad »ern˝mi Lesy",04.11.2014 16:29,37.6,Polar
1310,1311,7194,50.03972,14.32806,"äafr·nka Praha, Jeremi·öova 1, Praha 5-Stod˘lky",04.11.2014 15:25,37.6,äafr·nka Praha
786,787,7079,50.10635,14.5448,"Shell Czech Republic, a.s., PodÏbradsk· 325, Praha",04.11.2014 18:28,37.6,Shell Czech Republic
1908,1909,5312,50.04349,14.44069,"Agip, Olbrachtova 1040/2, Praha 4-Pankr·c",04.11.2014 10:50,37.6,Agip
1968,1969,5810,48.815229,14.26208,"Boxit, Dvorsk· 194, K·jov",04.11.2014 10:04,37.6,Boxit
440,441,5246,48.812245,14.322608,"Agip, NemocniËnÌ, »esk˝ Krumlov",05.11.2014 07:54,37.6,Agip
1391,1392,6621,50.0612,14.4277,"OMV, 5. kvÏtna 1640/65, Praha 4-Nusle",04.11.2014 14:56,37.6,OMV
1442,1443,7066,50.02553,14.49822,"Shell Czech Republic, a.s., Roztylsk·, Praha 4-Cho",04.11.2014 14:43,37.5,Shell Czech Republic
1399,1400,6571,48.963721,14.457849,"OMV, Pod stromovkou 204, LitvÌnovice",04.11.2014 14:55,37.5,OMV
27,28,6765,50.00522,14.56327,"PapOil, d·lnice D1, smÏr Brno, Pr˘honice",05.11.2014 10:24,37.5,PapOil
1946,1947,7069,50.03605,14.38666,"Shell Czech Republic, a.s., Geologick·, Praha 5-Hl",04.11.2014 10:21,37.5,Shell Czech Republic
2065,2066,5442,49.18333,16.67361,"AVIA, Hviezdoslavova 1173/1b, Brno-Slatina",04.11.2014 08:29,37.5,AVIA
498,499,5672,49.496922,17.962126,"Benzina, H¯bitovnÌ, ValaöskÈ Mezi¯ÌËÌ",05.11.2014 06:46,37.5,Benzina
